x,TC (K),TN (K),TE (K)
0,,964,
5,,890,675
10,,843,750
15,,798,775
20,,787,800
25,,795,800
30,,787,825
35,,803,850
40,,799,875
45,,799,912
50,,791,975
55,,795,1050
60,1122,784,1050
65,1175,772,1050
70,1272,769,1000
75,1370,758,975
80,1460,739,900
85,1531,708,825
90,1612,675,750
95,1637,600,650
100,1663,,
