,mineral,a,b,c
0,Biotite,0.3,12.0,272.1
1,Hornblende,0.4,17.0,482.8
2,Rutile,0.7,24.1,603.9
3,Titanite,0.4,17.6,577.7
4,Monazite,0.4,22.1,1003.6
