PoleName,Dec,Inc,PLat,PLon,A95,K,N,PolarityZone,PmagRef,AgeNominal,AgeLower,AgeUpper,AgeInfo,AgeRef,Gaussian_2sigma,GaussianOrUniform,Q,color
Hunnedalen dykes ,294,-75,-41,222,10.5,115,6,,"Walderhaug, H.J., Torsvik, T.H., Eide, E.A., Sundvoll, B., Bingen, B., 1999. Geochronology and palaeomagnetism of the Hunnedalen dykes, SW Norway: Implications for the Sveconorwegian apparent polar wander loop. Earth Planet. Sci. Lett. 169 (1), 71–83. ",848,821,875,Ar biotite age,,,gaussian,,
Egersund-Ogna anorthosite ,325.9,-80.1,-42.1,200.4,9.5,73,13,,"Brown, L.L., McEnroe, S.A., 2004. Palaeomagnetism of the Egersund-Ogna anorthosite, Rogaland, Norway, and the position of Fennoscandia in the Late Proterozoic. Geophys. J. Int. 158 (2), 479–488. ",900,,,Cooling age,,,,,
Egersund anorthosite ,,,-43.5,213.7,,,76,,"Stearn, J.E.F., Piper, J.D.A., 1984. Palaeomagnetism of the Sveconorwegian mobile belt of the Fennoscandian Shield. Precambr. Res. 23 (3–4), 201–246.; Walderhaug, H.J., Torsvik, T.H., Eide, E.A., Sundvoll, B., Bingen, B., 1999. Geochronology and palaeomagnetism of the Hunnedalen dykes, SW Norway: Implications for the Sveconorwegian apparent polar wander loop. Earth Planet. Sci. Lett. 169 (1), 71–83. ",900,,,Cooling age,,,,,
Rogaland Igneous Complex ,269,-72,-45.9,238.4,11.5,49,5,,"Walderhaug, H.J., Torsvik, T.H., Halvorsen, E., 2007. The Egersund dykes (SW Norway): A robust early Ediacaran (Vendian) palaeomagnetic pole from Baltica. Geophys. J. Int. 168 (3), 935–948. ",869,855,883,Ar biotite age,,,gaussian,,
Bjerkreim-Sokndal intrusion ,303.4,-73.5,-35.9,217.9,16.8,24,66,,"Brown, L.L., McEnroe, S.A., 2015. 916 Ma pole for southwestern Baltica: Palaeomagnetism of the Bjerkreim-Sokndal layered intrusion, Rogaland igneous complex, southern Norway. Geophys. J. Int. 203 (1), 567–587. ",916,,,Cooling age,,,,,
Mean 951–935 Ma Baltica pole ,308.8,-39.6,-2.6,239.6,12,42,12,,"Gong, Z., Evans, D. A., Elming, S. Å., Söderlund, U., & Salminen, J. M. (2018). Paleomagnetism, magnetic anisotropy and U-Pb baddeleyite geochronology of the early Neoproterozoic Blekinge-Dalarna dolerite dykes, Sweden. Precambrian Research, 317, 14-32.",943,935,951,U-Pb baddeleyite age ,,,gaussian,,
971 Ma BDD dykes VGP ,307.6,-65.4,-27,230.4,12.4,68,4,,"Gong, Z., Evans, D. A., Elming, S. Å., Söderlund, U., & Salminen, J. M. (2018). Paleomagnetism, magnetic anisotropy and U-Pb baddeleyite geochronology of the early Neoproterozoic Blekinge-Dalarna dolerite dykes, Sweden. Precambrian Research, 317, 14-32.",971,964,978,U-Pb baddeleyite age ,,,gaussian,,
Laanila-Ristija_rvi dykes ,355.5,-40,-2.1,212.2,11.4,51,3,,"Mertanen, S., Pesonen, L.J., Huhma, H., 1996. Palaeomagnetism and Sm-Nd ages of the Neoproterozoic diabase dykes in Laanila and Kautokeino, northern Fennoscandia. Geological Society, London, Special Publications 112 (1), 331–358. ",1042,992,1092,Sm-Nd whole-rock age,,,gaussian,,
Bamble Intrusion mean ,,,3,217,,,,,"Meert, J.G., Torsvik, T.H., 2003. The making and unmaking of a supercontinent: Rodinia revisited. Tectonophysics 375 (1–4), 261–288. ",1170,1040,1100,,,,uniform,,
