Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
AL97-2a,970,3,3,Ar/Ar,Cooling,,Biotite,Laser-Step,,Grenville Province,NY,44.31068,-75.45293,Adrondack Lowlands,Adrondack Lowlands,Plutonic,Antwerp granite,"Dahl, P.S., Pomfrey, M.E., and Foland, K.A., 2004, Slow cooling and apparent tilting of the Adirondacks Lowlands, Grenville province, New York, USA, based upon 40Ar/39Ar ages: GSA Memoir 197, p. 299-323."
AL97-5b,934,3,3,Ar/Ar,Cooling,,Biotite,Laser-Step,,Grenville Province,NY,44.31793,-75.42348,Adrondack Lowlands,Adrondack Lowlands,Plutonic,Antwerp granite,"Dahl, P.S., Pomfrey, M.E., and Foland, K.A., 2004, Slow cooling and apparent tilting of the Adirondacks Lowlands, Grenville province, New York, USA, based upon 40Ar/39Ar ages: GSA Memoir 197, p. 299-323."
AL97-8,1058,3,3,Ar/Ar,Cooling,,Biotite,Laser-Step,,Grenville Province,NY,44.31555,-75.24455,Adrondack Lowlands,Adrondack Lowlands,Plutonic,Diana syenite,"Dahl, P.S., Pomfrey, M.E., and Foland, K.A., 2004, Slow cooling and apparent tilting of the Adirondacks Lowlands, Grenville province, New York, USA, based upon 40Ar/39Ar ages: GSA Memoir 197, p. 299-323."
AL97-12a,896,3,3,Ar/Ar,Cooling,,Biotite,Laser-Step,,Grenville Province,NY,44.44443,-75.18825,Adrondack Lowlands,Adrondack Lowlands,Metamorphic,Popple Hill gneiss,"Dahl, P.S., Pomfrey, M.E., and Foland, K.A., 2004, Slow cooling and apparent tilting of the Adirondacks Lowlands, Grenville province, New York, USA, based upon 40Ar/39Ar ages: GSA Memoir 197, p. 299-323."
AL97-13a,908,3,3,Ar/Ar,Cooling,,Biotite,Laser-Step,,Grenville Province,NY,44.45237,-75.25455,Adrondack Lowlands,Adrondack Lowlands,Plutonic,Hermon granite,"Dahl, P.S., Pomfrey, M.E., and Foland, K.A., 2004, Slow cooling and apparent tilting of the Adirondacks Lowlands, Grenville province, New York, USA, based upon 40Ar/39Ar ages: GSA Memoir 197, p. 299-323."
AL97-14a,1086,3,3,Ar/Ar,Cooling,,Biotite,Laser-Step,,Grenville Province,NY,44.43067,-75.397,Adrondack Lowlands,Adrondack Lowlands,Metamorphic,Calc-silicate gneiss,"Dahl, P.S., Pomfrey, M.E., and Foland, K.A., 2004, Slow cooling and apparent tilting of the Adirondacks Lowlands, Grenville province, New York, USA, based upon 40Ar/39Ar ages: GSA Memoir 197, p. 299-323."
AL97-15a,1210,3,3,Ar/Ar,Cooling,,Biotite,Laser-Step,,Grenville Province,NY,44.37252,-75.55488,Adrondack Lowlands,Adrondack Lowlands,Metamorphic,Amphibolite,"Dahl, P.S., Pomfrey, M.E., and Foland, K.A., 2004, Slow cooling and apparent tilting of the Adirondacks Lowlands, Grenville province, New York, USA, based upon 40Ar/39Ar ages: GSA Memoir 197, p. 299-323."
AL97-17c,987,3,3,Ar/Ar,Cooling,,Biotite,Laser-Step,,Grenville Province,NY,44.32925,-75.63508,Adrondack Lowlands,Adrondack Lowlands,Metamorphic,Calc-silicate gneiss,"Dahl, P.S., Pomfrey, M.E., and Foland, K.A., 2004, Slow cooling and apparent tilting of the Adirondacks Lowlands, Grenville province, New York, USA, based upon 40Ar/39Ar ages: GSA Memoir 197, p. 299-323."
AL97-18a,935,2,2,Ar/Ar,Cooling,,Biotite,Laser-Step,,Grenville Province,NY,44.3869,-75.64777,Adrondack Lowlands,Adrondack Lowlands,Plutonic,Antwerp granite,"Dahl, P.S., Pomfrey, M.E., and Foland, K.A., 2004, Slow cooling and apparent tilting of the Adirondacks Lowlands, Grenville province, New York, USA, based upon 40Ar/39Ar ages: GSA Memoir 197, p. 299-323."
AL97-22b,931,3,3,Ar/Ar,Cooling,,Biotite,Laser-Step,,Grenville Province,NY,44.41687,-75.56672,Adrondack Lowlands,Adrondack Lowlands,Metamorphic,Hyde School gneiss,"Dahl, P.S., Pomfrey, M.E., and Foland, K.A., 2004, Slow cooling and apparent tilting of the Adirondacks Lowlands, Grenville province, New York, USA, based upon 40Ar/39Ar ages: GSA Memoir 197, p. 299-323."
