site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
1,136,35,5.1,6,54.5,-59,124,,,AN
2,139,31,5.2,6,54.5,-59,119,,,AN
3,140,38,3.6,7,54.5,-59,216,,,AN
5,134,27,6.3,5,54.5,-59,98,,,AN
6,131,29,4.3,6,54.5,-59,180,,,AN
7,134,23,2.9,4,54.5,-59,593,,,AN
11,138,36,2.6,6,54.5,-59,468,,,AN
12,146,33,5.5,7,54.5,-59,92,,,AN
13,140,32,4.2,6,54.5,-59,184,,,AN
29,141,26,7.5,7,54.5,-59,50,,,AN
30,143,22,6.0,6,54.5,-59,90,,,AN
32,131,38,9.2,7,54.5,-59,33,,,AN
57,142,35,2.7,5,54.5,-59,528,,,AN
58,131,20,3.2,5,54.5,-59,392,,,AN
59,140,36,8.2,5,54.5,-59,58,,,AN
60,138,31,5.9,5,54.5,-59,112,,,AN
61,143,30,3.5,5,54.5,-59,324,,,AN
62,138,30,3.2,5,54.5,-59,382,,,AN
63,136,34,2.3,5,54.5,-59,731,,,AN
64,139,28,7.1,5,54.5,-59,77,,,AN
65,138,38,4.9,5,54.5,-59,163,,,AN
