site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon
48,358,-73,,,46.25,-78.18,,,
49,317,-52,,,46.25,-78.18,,,
31,294,-73,,,46.25,-78.18,,,
69,352,-72,,,46.25,-78.18,,,
70,327,-74,,,46.25,-78.18,,,
32,311,-70,,,46.25,-78.18,,,
33,300,-71,,,46.25,-78.18,,,
50,285,-68,,,46.25,-78.18,,,
51,300,-63,,,46.25,-78.18,,,
52,306,-85,,,46.25,-78.18,,,
53,250,-78,,,46.25,-78.18,,,
54,319,-67,,,46.25,-78.18,,,
55,331,-67,,,46.25,-78.18,,,
34,324,-77,,,46.25,-78.18,,,
35,307,-74,,,46.25,-78.18,,,
58,330,-64,,,46.25,-78.18,,,
59,297,-64,,,46.25,-78.18,,,
41,325,-76,,,46.25,-78.18,,,
60,306,-58,,,46.25,-78.18,,,
61,325,-79,,,46.25,-78.18,,,
42,333,-75,,,46.25,-78.18,,,
62,359,-63,,,46.25,-78.18,,,
63,288,-67,,,46.25,-78.18,,,
65,304,-74,,,46.25,-78.18,,,
66,322,-80,,,46.25,-78.18,,,
68,293,-71,,,46.25,-78.18,,,
44,282,-75,,,46.25,-78.18,,,
45,288,-73,,,46.25,-78.18,,,
46,297,-74,,,46.25,-78.18,,,
47,319,-72,,,46.25,-78.18,,,
