Halls_Code,ROCKNAME,dir_comp_name,lat,lon,B,N,dir_dec,dir_inc,dir_k,dir_alpha95,vgp_lat,vgp_lon,dp,dm,pole_alpha95,ChRM_mineralogy,blocking_min,blocking_max,blocking_comment,pmag_reference
MMG,Mememesing Lake diorite,AR,46.02,-80.003,8,,284,-58,42,9,18,333,9.8,13.2,11.4,,,,,"H.C.Halls & A. Lovette, Unpublished Data "
RV25,Port Loring dyke,AR,45.92,-79.94,6,,292,-61,219,5,16.8,326,5.9,7.7,6.7,,,,,"H.C.Halls & A. Lovette, Unpublished Data "
MT,Magnetawan gneiss,AR,45.72,-79.68,23,,302,-73,51,4,24.6,309.4,6.4,7.1,6.7,magnetite; hematite,550,615,reported in text,"McWilliams, M.O., and Dunlop, D.J., 1975, Precambrian paleomagnetism: Magnetizations reset by the Grenville orogeny: Science, v. 190, p. 269-272."
MAT,Mattawa Gneiss,AR,46.25,-78.18,30,,312,-72,66,3,20.7,307.5,4.7,5.3,5,hematite,580,650,reported in text; shown in figures,"Hyodo, H., & Dunlop, D. J. (1993). Effect of anisotropy on the paleomagnetic contact test for a Grenville dike. Journal of Geophysical Research: Solid Earth, 98(B5), 7997-8017."
WA,Whitestone anorthosite,AR,45.66,-79.87,5,,285,-56,96,8,16.3,334.2,8.3,11.4,9.7,hematite,600,650,reported in text; interpreted,"Ueno, H., Irving, E., & McNutt, R. H. (1975). Paleomagnetism of the Whitestone anorthosite and diorite, the Grenville polar track, and relative motions of the Laurentian and Baltic Shields. Canadian Journal of Earth Sciences, 12(2), 209-226."
WD,Whitestone Diorite,AR,45.66,-79.87,4,,292,-67,223,6,22,320.6,8.2,9.9,9,hematite,600,640,reported in text; interpreted,"Ueno, H., Irving, E., & McNutt, R. H. (1975). Paleomagnetism of the Whitestone anorthosite and diorite, the Grenville polar track, and relative motions of the Laurentian and Baltic Shields. Canadian Journal of Earth Sciences, 12(2), 209-226."
WP,Wilberforce pyroxenite,AR,45.12,-78.25,3,,295,-59,365,7,13,327.7,7.8,10.4,9,magnetite,AF,AF,magnetite rods in pyroxene and amphibole,"Palmer, H. C., & Carmichael, C. M. (1973). Paleomagnetism of some Grenville Province rocks. Canadian Journal of Earth Sciences, 10(8), 1175-1190."
BD_A,Bark Lake and Dudmon diorite A,AR,44.95,-78.44,10,,266,-73,64,6,39,324,,,,hematite,600,680,interpreted,"Buchan, K. L., & Dunlop, D. J. (1973). Magnetisation episodes and tectonics of the Grenville Province. Nature Physical Science, 246(150), 28-30."
BD_B,Bark Lake and Dudmon diorite B,B,44.95,-78.44,13,,299,1,8,16,-21,351,,,,magnetite,550,600,reported in text,"Buchan, K. L., & Dunlop, D. J. (1973). Magnetisation episodes and tectonics of the Grenville Province. Nature Physical Science, 246(150), 28-30."
HI_A,Haliburton Intrusions A,AR,44.95,-78.44,15,,272,-73,38,6,35.6,322.5,9.6,10.7,10.1,hematite,600,680,reported in text; shown in figures,"Buchan, K. L., & Dunlop, D. J. (1976). Paleomagnetism of the Haliburton intrusions: Superimposed magnetizations, metamorphism, and tectonics in the late Precambrian. Journal of Geophysical Research, 81(17), 2951-2967."
HI_B,Haliburton Intrusions B,,44.95,-78.44,11,,299.9,10.3,9.4,15.7,-24.5,352.3,,,,magnetite,400,450,reported in text; shown in figures,"Buchan, K. L., & Dunlop, D. J. (1976). Paleomagnetism of the Haliburton intrusions: Superimposed magnetizations, metamorphism, and tectonics in the late Precambrian. Journal of Geophysical Research, 81(17), 2951-2967."
HI_C,Haliburton Intrusions C,,44.95,-78.44,10,,105.4,34.7,53.5,6.6,3,347.4,,,,magnetite,300,450,reported in text; shown in figures,"Buchan, K. L., & Dunlop, D. J. (1976). Paleomagnetism of the Haliburton intrusions: Superimposed magnetizations, metamorphism, and tectonics in the late Precambrian. Journal of Geophysical Research, 81(17), 2951-2967."
ND,Northbrook dyke,AR,44.74,-77.17,6,,303,-65,68,8,14.6,319.2,10.4,12.9,11.6,,,,,"H.C.Halls & A. Lovette, Unpublished Data "
MU,Muskoka sites,AR,45.13,-79.6,6,,268,-68,76,8,34,329.5,11.2,13.4,12.3,magnetite; hematite,500,620,reported in text,"Alvarez, V. C., & Dunlop, D. J. (1998). A regional paleomagnetic study of lithotectonic domains in the Central Gneiss Belt, Grenville Province, Ontario. Earth and Planetary Science Letters, 157(1-2), 89-103."
CMB,Central Metasdimentary Belt sites,AR,44.7,-76.75,8,,286,-52,40,9,12.3,339,8.4,12.3,10.2,magnetite; hematite; pyrrhotite,500,660,reported in text,"Brett, J. S., & Dunlop, D. J. (2008). Paleomagnetism of the Central Metasedimentary Belt, Grenville Province, Ontario: differential uplift or collision of terranes?. Earth and Planetary Science Letters, 266(1-2), 125-139."
MA_R,Morin Anorthosite reversed direction,AR,46,-74.25,24,,266,-77,32,5,42.2,320.6,9.9,9.2,9.5,magnetite; hematite,550,675,reported in text,"Irving, E., Park, J.K., and Emslie, R., 1974, Paleomagnetism of the Morin Complex: Journal of Geophysical Research, v. 79, p. 5482-5490. "
MA_N,Morin Anorthosite normal direction,AN,46,-74.25,13,,114,38,44,10,0,164,12,9,10.4,magnetite,100,500,reported in text,"Irving, E., Park, J.K., and Emslie, R., 1974, Paleomagnetism of the Morin Complex: Journal of Geophysical Research, v. 79, p. 5482-5490. "
LA_R,Lac St. Jean Anorthosite reversed direction,AR,48.33,-70.95,12,,301,-66,46,7,19,33,8.5,10.5,9.4,magnetite,515,560,reported in text,"Buchan, K. L., Fahrig, W. F., Freda, G. N., & Frith, R. A. (1983). Paleomagnetism of the Lac St-Jean anorthosite and related rocks, Grenville Province, Quebec. Canadian Journal of Earth Sciences, 20(2), 246-258."
LA_N,Lac St. Jean Anorthosite normal direction,AN,48.33,-70.95,21,,110,45,32,5.7,8,13,4.6,7.3,5.8,hematite,515,560,interpreted,"Buchan, K. L., Fahrig, W. F., Freda, G. N., & Frith, R. A. (1983). Paleomagnetism of the Lac St-Jean anorthosite and related rocks, Grenville Province, Quebec. Canadian Journal of Earth Sciences, 20(2), 246-258."
AA,Allard Lake Anorthosite,AR,51,-63,4,,297,-79,88,10,38.6,320.4,18,18.9,18.4,magnetite; hematite,550,600,reported in text,"Hargraves, R. B., & Burt, D. M. (1967). Paleomagnetism of the Allard Lake anorthosite suite. Canadian Journal of Earth Sciences, 4(3), 357-369."
IHA,Indian Head anorthosite,AR,48.5,-58.25,5,,311,-59,30,14,8.3,337.7,15.5,20.8,18,magnetite; hematite,500,650,interpreted; shown in figures,"Murthy, G. S., & Rao, K. V. (1976). Paleomagnetism of Steel Mountain and Indian head anorthosites from western Newfoundland. Canadian Journal of Earth Sciences, 13(1), 75-83."
CG_A,Cordova Gabbro A,AR,44.5,-77.75,18,,294,-56,42,5.5,10.5,331,6,8,6.9,magnetite; hematite,520,580,reported in text; shown in figures; but A is entirely carrieed by hematite in samples with A + B component,"Dunlop, D.J., and Stirling, J.M., 1985, Post-tectonic magnetizations from the Cordova gabbro, Ontario and Paleozoic reactivation in the Grenville Province. Geophysical Journal of the Royal astronomical Society, v. 81, p. 521-550. "
CG_B,Cordova Gabbro B,,44.5,-77.75,11,,306,-2,24,9.5,-24,345.5,5,9.5,6.9,magnetite,150,500,reported in text; shown in figures,"Dunlop, D.J., and Stirling, J.M., 1985, Post-tectonic magnetizations from the Cordova gabbro, Ontario and Paleozoic reactivation in the Grenville Province. Geophysical Journal of the Royal astronomical Society, v. 81, p. 521-550. "
CG_C,Cordova Gabbro C,,44.5,-77.75,12,,180,27.5,18,10.5,-31,282,6.5,12,8.8,hematite,,,,"Dunlop, D.J., and Stirling, J.M., 1985, Post-tectonic magnetizations from the Cordova gabbro, Ontario and Paleozoic reactivation in the Grenville Province. Geophysical Journal of the Royal astronomical Society, v. 81, p. 521-550. "
OI,Ottawa Intrusions,AR,45.7,-76.24,7,,280,-66,98,6,26.9,331.3,8.1,10,9,,,,there's both normal and reversed need to be separated,"Irving, E., Park, J. K., & Roy, J. L. (1972). Palaeomagnetism and the origin of the Grenville Front. Nature, 236(5346), 344-346."
AH,Adirondack Highlands,AR,44.2,-74,36,,288,-68,32,4,23.2,327.2,6.1,7.2,6.6,magnetite; hematite,550,680,reported in text; shown in figures; but A is entirely carrieed by hematite in samples with A + B component,"Brown, L. L., & McEnroe, S. A. (2012). Paleomagnetism and magnetic mineralogy of Grenville metamorphic and igneous rocks, Adirondack Highlands, USA. Precambrian Research, 212, 57-74."
RVA,River Valley anorthosite,AN,,,8,,123.5,17,98,5.6,-16.2,340,2.9,5.7,5.6,,,,,"H.C.Halls & A. Lovette, Unpublished Data "
SD,Metamorphosed Sudbury dikes,AN,,,10,,112.2,28.8,139,4.1,-4,344.5,2.5,4.5,4.1,,,,,"H.C.Halls & A. Lovette, Unpublished Data "
BI,Bustard Islands Gneiss,AN,45,-79,8,,123.4,32.5,79,6.3,-9,334.6,4.2,7.3,6.3,,,,,"Halls, H. C., Lovette, A., Hamilton, M., & Söderlund, U. (2015). A paleomagnetic and U–Pb geochronology study of the western end of the Grenville dyke swarm: Rapid changes in paleomagnetic field direction at ca. 585 Ma related to polarity reversals?. Precambrian Research, 257, 137-166."
