site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
G1,146,21,14.4,5,46.58,-77.75,29.1,,,AN
G2,127,28,20.8,5,46.58,-77.75,14.5,,,AN
G3,150,28,18.5,4,46.58,-77.75,25.6,,,AN
G4,120,34,19.5,4,46.58,-77.75,23.1,,,AN
G5,134,25,23.5,5,46.58,-77.75,11.6,,,AN
G6,120,29,20.7,5,46.58,-77.75,14.6,,,AN
G7,137,25,37.9,5,46.58,-77.75,5.4,,,AN
G8,155,34,33.3,4,46.58,-77.75,8.6,,,AN
G9,124,43,39.7,3,46.58,-77.75,7.8,,,AN
A2,150,19,,2,46.58,-77.75,12.7,,,AN
M1,149,19,20.4,3,46.58,-77.75,37.4,,,AN
G1,247,-38,,1,46.58,-77.75,,,,AR
G3,278,-23,,1,46.58,-77.75,,,,AR
G4,240,-34,,1,46.58,-77.75,,,,AR
G8,266,-36,15.2,2,46.58,-77.75,272,,,AR
D8,282,-43,,2,46.58,-77.75,,,,AR
M1,292,-17,,1,46.58,-77.75,,,,AR
