site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
1,315,-74,,3,53.7,-59,,,,AR
2,57,-54,,3,53.7,-59,,,,AR
3,333,-55,,3,53.7,-59,,,,AR
4,34,-85,32,4,53.7,-59,,,,AR
5,280,-72,33,4,53.7,-59,,,,AR
6,291,-64,,2,53.7,-59,,,,AR
7,132,-33,,1,53.7,-59,,,,AR
8,279,-49,21,4,53.7,-59,,,,AR
9,305,-72,21,5,53.7,-59,,,,AR
10,197,-80,20,5,53.7,-59,,,,AR
11,340,-58,,2,53.7,-59,,,,AR
12,15,-70,,2,53.7,-59,,,,AR
13,57,-14,,2,53.7,-59,,,,AR
14,287,-71,39,5,53.7,-59,,,,AR
15,259,-74,52,5,53.7,-59,,,,AR
16,216,-59,29,5,53.7,-59,,,,AR
17,21,-81,52,4,53.7,-59,,,,AR
18,70,-70,25,5,53.7,-59,,,,AR
19,9,-75,22,5,53.7,-59,,,,AR
20,274,-69,26,5,53.7,-59,,,,AR
21,335,-77,,2,53.7,-59,,,,AR
22,280,-40,,2,53.7,-59,,,,AR
1,80,62,,5,53.7,-59,,,,AN
2,97,51,,5,53.7,-59,,,,AN
3,102,46,,5,53.7,-59,,,,AN
4,100,57,,5,53.7,-59,,,,AN
5,100,50,,5,53.7,-59,,,,AN
6,99,51,,5,53.7,-59,,,,AN
7,92,58,,5,53.7,-59,,,,AN
8,86,48,,5,53.7,-59,,,,AN
9,86,62,,3,53.7,-59,,,,AN
10,98,52,,5,53.7,-59,,,,AN
11,86,56,,5,53.7,-59,,,,AN
12,93,55,,5,53.7,-59,,,,AN
13,115,35,,5,53.7,-59,,,,AN
15,111,37,,5,53.7,-59,,,,AN
16,246,-37,,3,53.7,-59,,,,AR
17,88,46,,5,53.7,-59,,,,AN
18,89,60,,3,53.7,-59,,,,AN
19,92,56,,5,53.7,-59,,,,AN
20,58,64,,3,53.7,-59,,,,AN
21,90,40,,5,53.7,-59,,,,AN
22,106,34,,5,53.7,-59,,,,AN
0,293,-53,,3,53.7,-59,,,,AR
10,285,-54,,1,53.7,-59,,,,AR
11,285,-43,,1,53.7,-59,,,,AR
12,289,-51,,1,53.7,-59,,,,AR
15,296,-42,,2,53.7,-59,,,,AR
18,266,-42,,1,53.7,-59,,,,AR
19,218,-70,,1,53.7,-59,,,,AR
20,265,-68,,1,53.7,-59,,,,AR
21,252,-15,,1,53.7,-59,,,,AR
22,276,-22,,3,53.7,-59,,,,AR
