site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
Lac Tio,244.6,-80.1,5.5,10,51,-63,78.9,54.9,327.7,AR
Lac Allard-McRae,326.9,-83.8,9.4,10,51,-63,27.5,39.9,305.2,AR
Grader,295.7,-77.2,10.1,10,51,-63,23.6,36,324,AR
Puyjalon,311,-70,10.1,21,51,-63,10.8,22.2,325.2,AR
