site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
1,346.5,-71,32,5,48.5,-58.5,6,,,AR
2,143,-14.5,23,5,48.5,-58.5,12,,,AR
3,142.5,52,21,5,48.5,-58.5,13,,,AN
4,177,15.5,11,5,48.5,-58.5,48,,,AN
5,161,30.5,24,4,48.5,-58.5,16,,,AN
6,165.5,26.5,32,3,48.5,-58.5,16,,,AN
7,167,27.5,18,3,48.5,-58.5,47,,,AN
8 and 9,178,32.5,15,5,48.5,-58.5,27,,,AN
10,137,38.5,19,3,48.5,-58.5,44,,,AN
2,335.5,-56,24,3,48.5,-58.5,28,,,AR
1 and 3,298,-63.5,25,4,48.5,-58.5,14,,,AR
4,295.5,-39.5,19,4,48.5,-58.5,24,,,AR
5,301,-65,15,4,48.5,-58.5,40,,,AR
6,331,-62.5,18,6,48.5,-58.5,14,,,AR
