site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
1010201L,283.9,-64,,4,44.95,-78.44,,,,AR
1020201L,316.1,-70.1,,6,44.95,-78.44,,,,AR
1030201L,292.7,-54.5,,4,44.95,-78.44,,,,AR
2030101L,239.4,-79.4,,7,44.95,-78.44,,,,AR
96A02L,269.7,-72.1,,5,44.95,-78.44,,,,AR
96A03L,263.4,-59.3,,5,44.95,-78.44,,,,AR
96A05L,283.4,-73.9,,7,44.95,-78.44,,,,AR
96A06L,259,-75.6,,6,44.95,-78.44,,,,AR
96A07L,254.6,-78.6,,8,44.95,-78.44,,,,AR
96A08L,265.8,-77.4,,6,44.95,-78.44,,,,AR
96C05L,293.9,-53.8,,4,44.95,-78.44,,,,AR
96C06L,284.4,-64.1,,5,44.95,-78.44,,,,AR
96C07L,291.6,-63.6,,7,44.95,-78.44,,,,AR
96C08L,262.1,-78.9,,6,44.95,-78.44,,,,AR
96C09L,268.2,-78.2,,6,44.95,-78.44,,,,AR
96C10L,268.2,-73.8,,4,44.95,-78.44,,,,AR
96D02L,327.4,-71.8,,6,44.95,-78.44,,,,AR
01010101S,318.1,32.2,,3,44.95,-78.44,,,,B
01020201L,343.4,21.9,,10,44.95,-78.44,,,,B
01030101S,306.6,-12.5,,7,44.95,-78.44,,,,B
96C02S,300.4,18.9,,5,44.95,-78.44,,,,B
96C05L,303.7,17.7,,6,44.95,-78.44,,,,B
96C10S,326.7,43.2,,7,44.95,-78.44,,,,B
