site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
T2,87.3,62.7,6.4,5,45,-78,142,,,AN
T3,73.7,54.8,13.3,3,45,-78,86,,,AN
T4,87.3,49.2,12.5,4,45,-78,54,,,AN
T5,90.9,59.1,,1,45,-78,,,,AN
T6,86.1,58.3,11.5,5,45,-78,45,,,AN
T7,92.7,65.3,12,4,45,-78,59,,,AN
T8,66.5,51.9,15.6,3,45,-78,63,,,AN
T10,83.6,55.1,,1,45,-78,,,,AN
T11,95.3,62.1,6.7,6,45,-78,101,,,AN
T12,79.4,59.4,8.3,3,45,-78,219,,,AN
T13,57.7,58.9,,1,45,-78,,,,AN
T14,94,60,5.2,6,45,-78,163,,,AN
T15,81.3,59.8,5.9,6,45,-78,127,,,AN
T2,296.8,-9.5,,1,45,-78,,,,B
T3,318.4,-5.6,,1,45,-78,,,,B
T4,283.7,-4.1,,2,45,-78,3,,,B
T5,307.4,-12.9,25,5,45,-78,10,,,B
T8,321.7,-20.3,87.9,2,45,-78,10,,,B
T10,308.5,-21.3,44.7,3,45,-78,9,,,B
T12,318.3,2,14.7,3,45,-78,71,,,B
T13,307.2,-22,,1,45,-78,,,,B
