site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
2,317,-64,,2,44.5,-77.83,57,,,AN+AR
3,285,-66.5,,2,44.5,-77.83,1054,,,AN+AR
4,287.5,-44,7,4,44.5,-77.83,163,,,AN+AR
5,308,-39.5,,2,44.5,-77.83,78,,,AN+AR
6,284,-67.5,10,3,44.5,-77.83,151,,,AN+AR
8,299,-50,,1,44.5,-77.83,,,,AN+AR
9,292.5,-65,,2,44.5,-77.83,14,,,AN+AR
11,264,-61,,2,44.5,-77.83,62,,,AN+AR
12,300.5,-55,14,4,44.5,-77.83,43,,,AN+AR
13,297,-56,20.5,3,44.5,-77.83,36,,,AN+AR
15,262.5,-67.5,,2,44.5,-77.83,55,,,AN+AR
16,308,-42,16.5,5,44.5,-77.83,22,,,AN+AR
17,298,-55.5,,2,44.5,-77.83,209,,,AN+AR
18,267.5,-68.5,,1,44.5,-77.83,,,,AN+AR
19,303.5,-49,10.5,7,44.5,-77.83,34,,,AN+AR
20,298,-42,,2,44.5,-77.83,21,,,AN+AR
22,292.5,-43.5,28,3,44.5,-77.83,20,,,AN+AR
23,292.5,-44.5,,2,44.5,-77.83,10,,,AN+AR
1,302.5,6.5,25,5,44.5,-77.83,10,,,B
2,287,24.5,8,5,44.5,-77.83,83,,,B
3,305.5,9.5,,2,44.5,-77.83,14.5,,,B
4,298.5,-20.5,,1,44.5,-77.83,,,,B
6,315,-15,,2,44.5,-77.83,51.5,,,B
8,297.5,0.5,24.5,4,44.5,-77.83,15,,,B
10,303.5,11,18.5,4,44.5,-77.83,25,,,B
18,308.5,-4.5,,2,44.5,-77.83,14,,,B
20,324,-4.5,15.5,4,44.5,-77.83,37,,,B
22,315,-13.5,,1,44.5,-77.83,,,,B
23,302,-8.5,42,3,44.5,-77.83,9.5,,,B
2,172,29,,2,44.5,-77.83,14.5,,,C
4,187.5,27.5,15.5,3,44.5,-77.83,65,,,C
5,176,23.5,32,3,44.5,-77.83,15.5,,,C
6,175.5,25.5,,2,44.5,-77.83,8.5,,,C
8,199.5,55.5,,1,44.5,-77.83,,,,C
9,169.5,-4.5,,2,44.5,-77.83,45.5,,,C
10,175.5,34,21,4,44.5,-77.83,20,,,C
12,172,21.5,,1,44.5,-77.83,,,,C
13,202.5,-2,,1,44.5,-77.83,,,,C
15,183,-32,,1,44.5,-77.83,,,,C
18,186.5,23,,2,44.5,-77.83,8.5,,,C
20,192,46.5,,1,44.5,-77.83,,,,C
22,167,5,,1,44.5,-77.83,,,,C
23,205.5,36,,1,44.5,-77.83,,,,C
