site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
66,129,55,9.5,5,49.5,-74,43,,,CH
51,137,45,18.7,4,50,-74,14,,,CH
54,116,72,9.8,5,50,-74,41,,,CH
70,90,54,12.8,5,49.75,-74,24,,,CH
72,117,23,5.8,4,49.75,-74,144,,,CH
