site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
1,334,-52,11,4,44.75,-77.67,69,,,AR
2,329,-49.5,13.5,4,44.75,-77.67,55,,,AR
6,314,-45.5,7.5,6,44.75,-77.67,77,,,AR
7,323.5,-42.5,8.5,4,44.75,-77.67,110,,,AR
9,330.5,-47.5,14.5,6,44.75,-77.67,22,,,AR
10,329.5,-41,8,6,44.75,-77.67,67,,,AR
11,317.5,-37,12,6,44.75,-77.67,31,,,AR
12,331,-49,14,5,44.75,-77.67,43,,,AR
