site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
1,134,49,5,7,47.5,-70.33,138,2,148,AN
3,98,8,4,13,47.5,-70.33,101,2,191,AN
8,107,39,5,13,47.5,-70.33,71,-6,173,AN
9,133,65,7,6,47.5,-70.33,91,-13,141,AN
10,127,39,11,9,47.5,-70.33,24,6,158,AN
11,295,-62,9,15,47.5,-70.33,18,-17,153,AR
13,120,49,16,5,47.5,-70.33,24,-4,158,AN
14a,126,23,10,10,47.5,-70.33,24,13,164,AN
15,142,50,6,9,47.5,-70.33,71,4,142,AN
16,116,53,4,9,47.5,-70.33,175,-9,159,AN
