site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
1,271,-49,5.6,7,53,-59,90,,,AR
5,320,-35,8.7,7,53,-59,37,,,AR
6,290,-10,10.8,6,53,-59,28,,,AR
10,310,24,6.2,7,53,-59,74,,,AR
16,318,-31,3.9,7,53,-59,187,,,AR
17,290,-2,3.4,6,53,-59,277,,,AR
18,323,-15,2.6,7,53,-59,418,,,AR
19,302,-38,6.6,6,53,-59,76,,,AR
24,287,-37,6.6,5,53,-59,91,,,AR
26,276,-34,10.0,7,53,-59,28,,,AR
33,302,37,9.5,6,53,-61,36,,,AN
1,32,69,8.5,7,53,-61,39,,,AN
2N,90,51,2.7,7,53,-61,394,,,AN
3N,84,70,3.3,9,53,-61,206,,,AN
8,88,49,16.2,5,53,-61,15,,,AN
10,116,81,7.7,7,53,-61,47,,,AN
11,92,62,2.9,7,53,-61,330,,,AN
12,68,66,3.5,7,53,-61,228,,,AN
13,61,68,7.8,6,53,-61,54,,,AN
23,131,67,5.7,8,53,-61,75,,,AN
25N,104,58,5.8,6,53,-61,97,,,AN
26,112,66,8.8,7,53,-61,36,,,AN
27,102,56,8.6,6,53,-61,44,,,AN
34,70,67,2.4,6,53,-61,572,,,AN
35,72,50,3.4,6,53,-61,288,,,AN
40,145,26,7.4,6,53.5,-65,59,,,AN
41,120,30,5.8,7,53.5,-65,82,,,AN
42,109,23,2.5,5,53.5,-65,643,,,AN
43,112,5,5.2,6,53.5,-65,119,,,AN
44,98,24,10.4,6,53.5,-65,30,,,AN
45,77,51,3.9,7,53.5,-65,184,,,AN
46,83,57,3.6,6,53.5,-65,249,,,AN
47,96,38,3.7,7,53.5,-65,208,,,AN
48,122,61,6.6,5,53.5,-65,91,,,AN
49,78,28,16.7,7,53.5,-65,10,,,AN
50,85,7,10.2,7,53.5,-65,27,,,AN
51,66,-7,16.7,7,53.5,-65,10,,,AN
52,75,21,3.8,6,53.5,-65,227,,,AN
