site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
1,100,43,10,5,44.28,-76.30,59,-11,169,AN
2,101,46,7,6,44.27,-76.45,96,-11,166,AN
3,104,49,3,6,44.28,-76.29,485,-11,162,AN
5,120,59,9,6,44.29,-76.21,59,-10,147,AN
6,106,49,7,5,44.30,-76.22,129,-10,162,AN
10,93,51,6,9,44.28,-75.23,83,-20,168,AN
8,111,70,20,8,44.29,-75.88,9,-24,141,AN
9,139,45,28,6,44.32,-76.69,7,10,140,AN
12,283,30,11,7,44.32,-75.88,30,20,163,AN
15,131,60,11,8,44.29,-76.37,28,-6,139,AN
