site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
1,103,24,8.1,7,48.33,-70.95,130,,,AN
2,105,42,4.9,7,48.33,-70.95,156,,,AN
5,106,42,5.5,7,48.33,-70.95,119,,,AN
6,92,48,5.9,8,48.33,-70.95,90,,,AN
7,82,55,4.8,7,48.33,-70.95,161,,,AN
8,111,32,5.3,7,48.33,-70.95,213,,,AN
10,111,33,8.1,8,48.33,-70.95,234,,,AN
11,125,41,12.4,7,48.33,-70.95,99,,,AN
25,101,70,14.8,6,48.33,-70.95,28,,,AN
31,110,35,8.6,7,48.33,-70.95,51,,,AN
32,114,40,9.8,7,48.33,-70.95,62,,,AN
33,110,43,9.9,8,48.33,-70.95,157,,,AN
34,109,60,10.6,7,48.33,-70.95,41,,,AN
35,111,41,4.9,8,48.33,-70.95,151,,,AN
37,118,47,5.5,7,48.33,-70.95,193,,,AN
38,90,58,4.7,10,48.33,-70.95,108,,,AN
39,105,42,3.2,9,48.33,-70.95,257,,,AN
40,112,48,6.2,8,48.33,-70.95,97,,,AN
49,107,36,6.6,5,48.33,-70.95,134,,,AN
53,154,45,6,4,48.33,-70.95,234,,,AN
22,122,57,9,6,48.33,-70.95,57,,,AN
9,281,-66,4.8,6,48.33,-70.95,255,,,AR
12,271,-61,9.8,7,48.33,-70.95,48,,,AR
3,321,-63,11.1,7,48.33,-70.95,48,,,AR
4,284,-73,7.3,6,48.33,-70.95,86,,,AR
14,318,-44,10.5,6,48.33,-70.95,78,,,AR
15,312,-76,6.2,6,48.33,-70.95,116,,,AR
17,268,-68,3.7,6,48.33,-70.95,323,,,AR
26,305,-66,19.7,8,48.33,-70.95,40,,,AR
29,325,-66,12.1,6,48.33,-70.95,105,,,AR
42,298,-68,5.8,6,48.33,-70.95,133,,,AR
45,320,-67,10.2,7,48.33,-70.95,36,,,AR
36,295,-55,7.3,8,48.33,-70.95,69,,,AR
