site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
U2,138,52,7.3,2,44.95,-77.75,1167,4,136,AN
U3,278,-63,24.5,2,44.95,-77.75,106,-25,154,AR
U4,112,68,19.8,3,44.95,-77.75,40,-23,140,AN
U5,96,41,14.5,2,44.95,-77.75,298,-12,171,AN
U6,280,-54,10.9,2,44.95,-77.75,531,-17,161,AR
U7,124,59,31.2,3,44.95,-77.75,17,-8,142,AN
U8,135,34,6.1,2,44.95,-77.75,1685,15,146,AN
U9,43,63,11.7,2,44.95,-77.75,456,-60,179,AN
U10,93,56,5.8,2,44.95,-77.75,1866,-23,163,AN
U11,117,25,12.8,2,44.95,-77.75,380,9,164,AN
U12,326,-7,,2,44.95,-77.75,67,,,AR
U13,315,-32,7,3,44.95,-77.75,313,16,147,AR
U14,124,51,7.5,2,44.95,-77.75,1103,-2,147,AN
U15,103,18,,2,44.95,-77.75,13,2,177,AN
U16,107,24,,2,44.95,-77.75,23,3,172,AN
U17,91,62,12.3,2,44.95,-77.75,417,-28,158,AN
SP6,106,29,5.5,4,44.95,-77.75,276,0,171,AN
SP8,108,39,6.3,4,44.95,-77.75,216,-3,164,AN
SP9,113,26,15.9,4,44.95,-77.75,34,6,166,AN
SP10,100,44,11.9,3,44.95,-77.75,109,-11,167,AN
SP12,59,36,17.1,4,44.95,-77.75,30,-36,161,AN
SP13,130,51,,4,44.95,-77.75,6,,,AN
SP13,145,46,12.5,4,44.95,-77.75,55,11,134,AN
SP14,113,27,10.8,4,44.95,-77.75,73,5,166,AN
SP16,134,46,11,4,44.95,-77.75,70,7,142,AN
SP17a,280,-58,3.2,2,44.95,-77.75,6141,-20,158,AR
SP17a,278,-55,1.3,2,44.95,-77.75,36477,-20,161,AR
SP17a,97,61,,2,44.95,-77.75,6,-24,156,AN
SP17b,97,48,,2,44.95,-77.75,6,-15,166,AN
