site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
1,106.8,26.8,15.6,3,44.95,-77.75,63.6,,,AN
2,88.5,37.9,43.7,3,44.95,-77.75,9,,,AN
3,90.4,50.1,13,5,44.95,-77.75,35.5,,,AN
4,109.4,23.7,3.5,5,44.95,-77.75,485,,,AN
5,22.4,43.5,27.5,5,44.95,-77.75,8.7,,,AN
6,93.8,37.8,8.2,5,44.95,-77.75,87.8,,,AN
8,101.8,51.5,9.2,5,44.95,-77.75,69.6,,,AN
9,108.8,45.1,4.4,5,44.95,-77.75,309,,,AN
10,29.9,80,161,4,44.95,-77.75,1.4,,,AN
11,113.9,61.9,6.8,5,44.95,-77.75,127,,,AN
12,104.4,61.2,77.1,4,44.95,-77.75,2,,,AN
13,107.9,61.9,60.6,4,44.95,-77.75,3.3,,,AN
14,83.9,47.7,24.7,4,44.95,-77.75,14.8,,,AN
15,92.6,69.1,52.4,5,44.95,-77.75,3.1,,,AN
16,102.1,45.7,23.4,5,44.95,-77.75,11.7,,,AN
17,91,51.4,13.9,3,44.95,-77.75,80,,,AN
