site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
B04,301,-63,16,4,45.68,-76.62,33,,,AR
B05,269,-59,10,4,45.68,-76.62,94,,,AR
B11,278,-69,11,5,45.68,-76.62,47,,,AR
C13,109,64,26,4,45.58,-76.67,14,,,AN
G01,266,-70,2,7,45.62,-75.85,761,,,AR
G20,104,59,29,4,45.62,-75.85,11,,,AN
G19,68,69,18,9,45.62,-75.85,9,,,AN
G18(N),41,62,12,4,45.62,-75.85,57,,,AN
G18(R),267,-74,3,5,45.62,-75.85,633,,,AN
G17,266,-61,10,5,45.62,-75.85,57,,,AR
G27,70,67,15,3,45.62,-75.85,71,,,AN
G26,276,-61,31,3,45.62,-75.85,17,,,AR
