site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
D1,254,-68,10,3,44.95,-78.44,163,,,AR
D2,280,-70,14,3,44.95,-78.44,81,,,AR
D4,257,-73,,1,44.95,-78.44,,,,AR
D5,155,-85,18,4,44.95,-78.44,27,,,AR
D6,266,-72,6,4,44.95,-78.44,214,,,AR
D11,289,-69,49,2,44.95,-78.44,28,,,AR
B1,245,-71,11,4,44.95,-78.44,69,,,AR
B2,279,-65,,1,44.95,-78.44,,,,AR
B8,288,-66,,1,44.95,-78.44,,,,AR
B9,228,-75,,1,44.95,-78.44,,,,AR
G4,293,-67,8,4,44.95,-78.44,132,,,AR
138,277,0,8,2,44.95,-78.44,1036,,,B
139,319,-10,8,3,44.95,-78.44,254,,,B
149,314,6,71,2,44.95,-78.44,15,,,B
160,319,11,66,2,44.95,-78.44,17,,,B
208,319,12,,1,44.95,-78.44,,,,B
302,262,-1,23,3,44.95,-78.44,31,,,B
