Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
1 GF zone peg,827,151,151.3,U/Pb,Pb Loss,"quartz K-feldspar biotite pegmatite, rotated into concordant with regional foliation and converted to coarse-grained gneiss with disccrete SE-dipping shear planes and sigmoidal augen","Zircon, Monazite",TIMS,Estimate,Grenville Province,QC,47.60008,-77.22888,"S of Val d'Or, 35 km SE of Front. Coordinates interpolated from regional-scale sketch map in report (approximate)",Grenville Front Zone - Val d'Or gneiss,Metamorphic,"quartz K-feldspar biotite pegmatite, rotated into concordant with regional foliation and converted to coarse-grained gneiss with disccrete SE-dipping shear planes and sigmoidal augen","Martignole, J. and Friedman, R., 1998. Geochronological constraints on the last stages of terrane assembly in the central part of the Grenville Province; Precambrian Research, v. 92, p. 145-16"
5 Renzy peg,982.9,3,3,U/Pb,Cooling,pegmatite,Monazite,TIMS,Direct,Grenville Province,QC,46.85006,-76.31635,Of Hwy 117. Coordinates interpolated from regional scale sketch map in report (approximate),Reservoir Dozois Terrane - Renzy shear zone,Plutonic,pegmatite,"Martignole, J. and Friedman, R., 1998. Geochronological constraints on the last stages of terrane assembly in the central part of the Grenville Province; Precambrian Research, v. 92, p. 145-16"
3 Cadgecrib gab,983.1,3.1,3.4,U/Pb,Cooling,"coarse-grained foliated metamorphosed (presence of sparse garnet coronas) gabbro, adjacent to shear zone",Titanite,TIMS,Direct,Grenville Province,QC,47.25007,-76.49967,"Off of Hwy 117, a few hundred m from Cadgecrib shear zone, 70 km SE of Grenville Fault. Coordinates interpolated from regional scale sketch map in report (approximate)",Reservoir Dozois Terrane - Cadgecrib gabbro,Plutonic,"coarse-grained foliated metamorphosed (presence of sparse garnet coronas) gabbro, adjacent to shear zone","Martignole, J. and Friedman, R., 1998. Geochronological constraints on the last stages of terrane assembly in the central part of the Grenville Province; Precambrian Research, v. 92, p. 145-16"
2 Cadgecrib peg,998.1,15.8,6.5,U/Pb,Igneous Crystallization,"late-kinematic pegmatite, cuts ductile fabrics of SZ and is itself slightly deformed",Zircon,TIMS,Direct,Grenville Province,QC,47.24785,-76.73497,"Off of Hwy 117, a few hundred m from Cadgecrib shear zone, 70 km SE of Grenville Fault. Coordinates interpolated from regional scale sketch map in report (approximate)",Reservoir Dozois Terrane - Cadgecrib Shear Zone,Plutonic,"late-kinematic pegmatite, cuts ductile fabrics of SZ and is itself slightly deformed","Martignole, J. and Friedman, R., 1998. Geochronological constraints on the last stages of terrane assembly in the central part of the Grenville Province; Precambrian Research, v. 92, p. 145-16"
4 Cabonga peg,998.4,9,5.2,U/Pb,Igneous Crystallization,"pegmatite, weakly deformed (small pegamatitic clots and isolated feldspar megacrysts apparently pulled from main mass of pegmatite, around which foliateion has been detected)",Zircon,TIMS,Estimate,Grenville Province,QC,47.23896,-76.58135,Off of Hwy 117. Coordinates interpolated from regional scale sketch map in report (approximate),Reservoir Dozois Terrane - Cabonga Thrust,Plutonic,"pegmatite, weakly deformed (small pegamatitic clots and isolated feldspar megacrysts apparently pulled from main mass of pegmatite, around which foliateion has been detected)","Martignole, J. and Friedman, R., 1998. Geochronological constraints on the last stages of terrane assembly in the central part of the Grenville Province; Precambrian Research, v. 92, p. 145-16"
5 Renzy peg,1003,4.1,4.8,U/Pb,Igneous Crystallization,pegmatite,Zircon,TIMS,Estimate,Grenville Province,QC,46.85006,-76.31635,Of Hwy 117. Coordinates interpolated from regional scale sketch map in report (approximate),Reservoir Dozois Terrane - Renzy shear zone,Plutonic,pegmatite,"Martignole, J. and Friedman, R., 1998. Geochronological constraints on the last stages of terrane assembly in the central part of the Grenville Province; Precambrian Research, v. 92, p. 145-16"
RF91-18A,1020.1,1.8,1.3,U/Pb,Igneous Crystallization,"quartz-plagioclase-biotite pegmatite in mylonitic rocks, approx. 3 cubic decametres in volume, cuts fabric associated with the Renzy Shear Zone",Zircon,TIMS,Direct,Grenville Province,QC,46.71395,-76.09967,"On Rt 117, approx. 0.5 km S of Lac du Faucard. oordinates interpolated from regional scale sketch map in report (approximate)",Reservoir Dozois Terrane - Baskatong shear zone,Plutonic,"quartz-plagioclase-biotite pegmatite in mylonitic rocks, approx. 3 cubic decametres in volume, cuts fabric associated with the Renzy Shear Zone","Martignole, J. and Friedman, R., 1998. Geochronological constraints on the last stages of terrane assembly in the central part of the Grenville Province; Precambrian Research, v. 92, p. 145-16"
RF92-2,1074,4,4,U/Pb,Igneous Crystallization,quartz monzonite dyke,Zircon,TIMS,Minimum Estimate,Grenville Province,QC,46.85698,-74.03849,N of Hwy 117. Coordinates interpolated from regional-scale sketch map in report (approximate),Reservoir Taureau Terrane - Taureau dyke,Plutonic,quartz monzonite dyke,"Martignole, J. and Friedman, R., 1998. Geochronological constraints on the last stages of terrane assembly in the central part of the Grenville Province; Precambrian Research, v. 92, p. 145-16"
RF92-1,1078.8,6,5.6,U/Pb,Igneous Crystallization,aplite dyke,Zircon,TIMS,Estimate,Grenville Province,QC,46.41394,-74.74963,N of Hwy 117. Coordinates interpolated from regional-scale sketch map in report (approximate),Morin Terrane - Macaza dyke,Plutonic,aplite dyke,"Martignole, J. and Friedman, R., 1998. Geochronological constraints on the last stages of terrane assembly in the central part of the Grenville Province; Precambrian Research, v. 92, p. 145-16"
4 Cabonga peg,1600,0,0.2,U/Pb,Inheritance,"pegmatite, weakly deformed (small pegamatitic clots and isolated feldspar megacrysts apparently pulled from main mass of pegmatite, around which foliateion has been detected)",Zircon,TIMS,Estimate,Grenville Province,QC,47.23896,-76.58135,Off of Hwy 117. Coordinates interpolated from regional scale sketch map in report (approximate),Reservoir Dozois Terrane - Cabonga Thrust,Plutonic,"pegmatite, weakly deformed (small pegamatitic clots and isolated feldspar megacrysts apparently pulled from main mass of pegmatite, around which foliateion has been detected)","Martignole, J. and Friedman, R., 1998. Geochronological constraints on the last stages of terrane assembly in the central part of the Grenville Province; Precambrian Research, v. 92, p. 145-16"
