Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
WA-15,965,15,15,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,,,Whitestone diorite,,Plutonic,diorite,"Dallmeyer, R. D., & Sutter, J. F. (1980). Acquisitional chronology of remanent magnetization along the ‘Grenville polar path’: evidence from 40Ar/39Ar ages of hornblende and biotite from the Whitestone diorite, Ontario. Journal of Geophysical Research: Solid Earth, 85(B6), 3177-3186."
WA-21,991,15,15,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,,,Whitestone diorite,,Plutonic,diorite,"Dallmeyer, R. D., & Sutter, J. F. (1980). Acquisitional chronology of remanent magnetization along the ‘Grenville polar path’: evidence from 40Ar/39Ar ages of hornblende and biotite from the Whitestone diorite, Ontario. Journal of Geophysical Research: Solid Earth, 85(B6), 3177-3186."
WA-15,936,15,15,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,,,Whitestone diorite,,Plutonic,diorite,"Dallmeyer, R. D., & Sutter, J. F. (1980). Acquisitional chronology of remanent magnetization along the ‘Grenville polar path’: evidence from 40Ar/39Ar ages of hornblende and biotite from the Whitestone diorite, Ontario. Journal of Geophysical Research: Solid Earth, 85(B6), 3177-3186."
WA-21,960,15,15,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,,,Whitestone diorite,,Plutonic,diorite,"Dallmeyer, R. D., & Sutter, J. F. (1980). Acquisitional chronology of remanent magnetization along the ‘Grenville polar path’: evidence from 40Ar/39Ar ages of hornblende and biotite from the Whitestone diorite, Ontario. Journal of Geophysical Research: Solid Earth, 85(B6), 3177-3186."
