Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
3-1-H-1,915.6,1.8,1.8,Ar/Ar,Plateau Age,,Hornblende,Ar Furnace-Step,,Grenville Province,NY,44.2,-74,Adirondack Highlands,Adirondack Highlands,,Granitic gneiss enclosing a banded amphibolite,"Onstott, T. C., & Peacock, M. W. (1987). Argon retentivity of hornblendes: A field experiment in a slowly cooled metamorphic terrane. Geochimica et Cosmochimica Acta, 51(11), 2891-2903."
3-1-H-2,906.6,1.9,1.9,Ar/Ar,Plateau Age,,Hornblende,Ar Furnace-Step,,Grenville Province,NY,44.2,-74,Adirondack Highlands,Adirondack Highlands,,Granitic gneiss enclosing a banded amphibolite,"Onstott, T. C., & Peacock, M. W. (1987). Argon retentivity of hornblendes: A field experiment in a slowly cooled metamorphic terrane. Geochimica et Cosmochimica Acta, 51(11), 2891-2903."
3-2-H,933,1.6,1.6,Ar/Ar,Plateau Age,,Hornblende,Ar Furnace-Step,,Grenville Province,NY,44.2,-74,Adirondack Highlands,Adirondack Highlands,,Granitic gneiss enclosing a banded amphibolite,"Onstott, T. C., & Peacock, M. W. (1987). Argon retentivity of hornblendes: A field experiment in a slowly cooled metamorphic terrane. Geochimica et Cosmochimica Acta, 51(11), 2891-2903."
3-3-H-1,958.2,1.7,1.7,Ar/Ar,Plateau Age,,Hornblende,Ar Furnace-Step,,Grenville Province,NY,44.2,-74,Adirondack Highlands,Adirondack Highlands,,Granitic gneiss enclosing a banded amphibolite,"Onstott, T. C., & Peacock, M. W. (1987). Argon retentivity of hornblendes: A field experiment in a slowly cooled metamorphic terrane. Geochimica et Cosmochimica Acta, 51(11), 2891-2903."
3-3-H-2,944.6,1.6,1.6,Ar/Ar,Plateau Age,,Hornblende,Ar Furnace-Step,,Grenville Province,NY,44.2,-74,Adirondack Highlands,Adirondack Highlands,,Granitic gneiss enclosing a banded amphibolite,"Onstott, T. C., & Peacock, M. W. (1987). Argon retentivity of hornblendes: A field experiment in a slowly cooled metamorphic terrane. Geochimica et Cosmochimica Acta, 51(11), 2891-2903."
3-1-B,852.2,1.8,1.8,Ar/Ar,Plateau Age,,Biotite,Ar Furnace-Step,,Grenville Province,NY,44.2,-74,Adirondack Highlands,Adirondack Highlands,,Granitic gneiss enclosing a banded amphibolite,"Onstott, T. C., & Peacock, M. W. (1987). Argon retentivity of hornblendes: A field experiment in a slowly cooled metamorphic terrane. Geochimica et Cosmochimica Acta, 51(11), 2891-2903."
