Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
196,1160,1,1,U/Pb,Metamorphic,,Monazite,TIMS,Direct,Grenville Province,NY,44.23,-75.45,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,garnet-biotite gneiss,"Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1992). The Carthage-Colton mylonite zone (Adirondack Mountains, New York): The site of a cryptic suture in the Grenville orogen?. The Journal of Geology, 100(5), 630-638."
199A,1150,3,3,U/Pb,Metamorphic,,Monazite,TIMS,Direct,Grenville Province,NY,44.34,-75.45,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,garnet-biotite gneiss,"Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1992). The Carthage-Colton mylonite zone (Adirondack Mountains, New York): The site of a cryptic suture in the Grenville orogen?. The Journal of Geology, 100(5), 630-638."
201,1167,1,1,U/Pb,Metamorphic,,Monazite,TIMS,Direct,Grenville Province,NY,44.3,-75.45,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,garnet-biotite gneiss,"Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1992). The Carthage-Colton mylonite zone (Adirondack Mountains, New York): The site of a cryptic suture in the Grenville orogen?. The Journal of Geology, 100(5), 630-638."
203A,1160,1,1,U/Pb,Metamorphic,,Monazite,TIMS,Direct,Grenville Province,NY,44.3,-75.45,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,garnet-biotite gneiss,"Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1992). The Carthage-Colton mylonite zone (Adirondack Mountains, New York): The site of a cryptic suture in the Grenville orogen?. The Journal of Geology, 100(5), 630-638."
206,1164,1,1,U/Pb,Metamorphic,,Monazite,TIMS,Direct,Grenville Province,NY,44.3,-75.45,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,garnet-biotite gneiss,"Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1992). The Carthage-Colton mylonite zone (Adirondack Mountains, New York): The site of a cryptic suture in the Grenville orogen?. The Journal of Geology, 100(5), 630-638."
90-04/1,982,2,2,U/Pb,Metamorphic,,Titanite,TIMS,Direct,Grenville Province,NY,44.23,-75.17,Adirondack Highlands,Adirondack Highlands,Metamorphic,"marble, granitic, calc-silicate gneiss","Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1992). The Carthage-Colton mylonite zone (Adirondack Mountains, New York): The site of a cryptic suture in the Grenville orogen?. The Journal of Geology, 100(5), 630-638."
90-04/2,989,2,2,U/Pb,Metamorphic,,Titanite,TIMS,Direct,Grenville Province,NY,44.23,-75.17,Adirondack Highlands,Adirondack Highlands,Metamorphic,"marble, granitic, calc-silicate gneiss","Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1992). The Carthage-Colton mylonite zone (Adirondack Mountains, New York): The site of a cryptic suture in the Grenville orogen?. The Journal of Geology, 100(5), 630-638."
90-49,1094,2,2,U/Pb,Metamorphic,,Titanite,TIMS,Direct,Grenville Province,NY,44.13,-75.36,Adirondack Highlands,Adirondack Highlands,Metamorphic,"marble, granitic, calc-silicate gneiss","Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1992). The Carthage-Colton mylonite zone (Adirondack Mountains, New York): The site of a cryptic suture in the Grenville orogen?. The Journal of Geology, 100(5), 630-638."
90-51,1014,1,1,U/Pb,Metamorphic,,Titanite,TIMS,Direct,Grenville Province,NY,44.14,-74.97,Adirondack Highlands,Adirondack Highlands,Metamorphic,"marble, granitic, calc-silicate gneiss","Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1992). The Carthage-Colton mylonite zone (Adirondack Mountains, New York): The site of a cryptic suture in the Grenville orogen?. The Journal of Geology, 100(5), 630-638."
90-54,1031,10,10,U/Pb,Metamorphic,,Titanite,TIMS,Direct,Grenville Province,NY,44.18,-75.14,Adirondack Highlands,Adirondack Highlands,Metamorphic,"marble, granitic, calc-silicate gneiss","Mezger, K., Van Der Pluijm, B. A., Essene, E. J., & Halliday, A. N. (1992). The Carthage-Colton mylonite zone (Adirondack Mountains, New York): The site of a cryptic suture in the Grenville orogen?. The Journal of Geology, 100(5), 630-638."
