Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
HT-95-50d-G2,1044,3,3,U/Pb,Cooling,"leucocratic granulite vein, cuts amph-facies migmatitic orthogneisses",Titanite,TIMS,Direct,Grenville Province,ON,45.19197,-78.85999,"roadcut along Hwy 35, S of Raven Lake",Central Gneiss Belt - Muskoka Domain - cuts migmatitic orthogneiss,Metamorphic,"leucocratic granulite vein, cuts amph-facies migmatitic orthogneisses","Timmerman, H., Jamieson, R.A., Parrish, R.R. and Culshaw, N.G., 2002. Coeval migmatites and granulites, Muskoka domain, southwestern Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 39, p. 239-25"
HT-95-50d-G2,1052,12,12,U/Pb,Metamorphic,"leucocratic granulite vein, cuts amph-facies migmatitic orthogneisses",Zircon,TIMS,Direct,Grenville Province,ON,45.19197,-78.85999,"roadcut along Hwy 35, S of Raven Lake",Central Gneiss Belt - Muskoka Domain - cuts migmatitic orthogneiss,Metamorphic,"leucocratic granulite vein, cuts amph-facies migmatitic orthogneisses","Timmerman, H., Jamieson, R.A., Parrish, R.R. and Culshaw, N.G., 2002. Coeval migmatites and granulites, Muskoka domain, southwestern Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 39, p. 239-25"
HT-95-132b-G2,1052,52,55,U/Pb,Metamorphic,"nonmigmatitic granulite, associated with amph-facies migmatitic orthogneisses. 2 pyroxene patchy granulite",Zircon,TIMS,Estimate,Grenville Province,ON,45.03394,-78.97584,roadcut along Hwy 118 West,Central Gneiss Belt - Muskoka Domain - Type 2 Granulite,Metamorphic,"nonmigmatitic granulite, associated with amph-facies migmatitic orthogneisses. 2 pyroxene patchy granulite","Timmerman, H., Jamieson, R.A., Parrish, R.R. and Culshaw, N.G., 2002. Coeval migmatites and granulites, Muskoka domain, southwestern Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 39, p. 239-25"
HT-95-50d-G2,1063,13,13,U/Pb,Metamorphic,"leucocratic granulite vein, cuts amph-facies migmatitic orthogneisses",Zircon,TIMS,Direct,Grenville Province,ON,45.19197,-78.85999,"roadcut along Hwy 35, S of Raven Lake",Central Gneiss Belt - Muskoka Domain - cuts migmatitic orthogneiss,Metamorphic,"leucocratic granulite vein, cuts amph-facies migmatitic orthogneisses","Timmerman, H., Jamieson, R.A., Parrish, R.R. and Culshaw, N.G., 2002. Coeval migmatites and granulites, Muskoka domain, southwestern Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 39, p. 239-25"
HT-95-50d-G2,1176,7,7,U/Pb,Inheritance,"leucocratic granulite vein, cuts amph-facies migmatitic orthogneisses",Zircon,TIMS,Estimate,Grenville Province,ON,45.19197,-78.85999,"roadcut along Hwy 35, S of Raven Lake",Central Gneiss Belt - Muskoka Domain - cuts migmatitic orthogneiss,Metamorphic,"leucocratic granulite vein, cuts amph-facies migmatitic orthogneisses","Timmerman, H., Jamieson, R.A., Parrish, R.R. and Culshaw, N.G., 2002. Coeval migmatites and granulites, Muskoka domain, southwestern Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 39, p. 239-25"
HT-95-132b-G2,1456,16,12,U/Pb,Protolith age,"nonmigmatitic granulite, associated with amph-facies migmatitic orthogneisses. 2 pyroxene patchy granulite",Zircon,TIMS,Estimate,Grenville Province,ON,45.03394,-78.97584,roadcut along Hwy 118 West,Central Gneiss Belt - Muskoka Domain - Type 2 Granulite,Metamorphic,"nonmigmatitic granulite, associated with amph-facies migmatitic orthogneisses. 2 pyroxene patchy granulite","Timmerman, H., Jamieson, R.A., Parrish, R.R. and Culshaw, N.G., 2002. Coeval migmatites and granulites, Muskoka domain, southwestern Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 39, p. 239-25"
