Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
PS86B-1B,866,6,6,Ar/Ar,Cooling,pegmatite,Muscovite,Ar Furnace-Fusion,Direct,Grenville Province,ON,45.25005,-79.8165,Location approximate.,Cental Gneiss Belt - unknown,Plutonic,pegmatite,"Cosca, M. A., Sutter, J. F., & Essene, E. J. (1991). Cooling and inferred uplift/erosion history of the Grenville orogen, Ontario: constraints from 40Ar/39Ar thermochronology. Tectonics, 10(5), 959-977."
PS86B-14B,895,6,6,Ar/Ar,Cooling,pegmatite,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.37505,-80.0665,Location approximate.,Central Gneiss Belt - unknown,Plutonic,pegmatite,"Cosca, M. A., Sutter, J. F., & Essene, E. J. (1991). Cooling and inferred uplift/erosion history of the Grenville orogen, Ontario: constraints from 40Ar/39Ar thermochronology. Tectonics, 10(5), 959-977."
PS86B-16C,909,6,6,Ar/Ar,Cooling,schist,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.39172,-80.0665,Location approximate.,Central Gneiss Belt - unknown,Metamorphic,schist,"Cosca, M. A., Sutter, J. F., & Essene, E. J. (1991). Cooling and inferred uplift/erosion history of the Grenville orogen, Ontario: constraints from 40Ar/39Ar thermochronology. Tectonics, 10(5), 959-977."
PS86B-9,900,6,6,Ar/Ar,Cooling,anorthosite,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.47505,-80.00261,Location approximate.,Central Gneiss Belt - unknown,Plutonic,anorthosite,"Cosca, M. A., Sutter, J. F., & Essene, E. J. (1991). Cooling and inferred uplift/erosion history of the Grenville orogen, Ontario: constraints from 40Ar/39Ar thermochronology. Tectonics, 10(5), 959-977."
PSA-1,903,8,8,Ar/Ar,Cooling,gneiss,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.43755,-80.02483,Location approximate.,Central Gneiss Belt - unknown,Metamorphic,gneiss,"Cosca, M. A., Sutter, J. F., & Essene, E. J. (1991). Cooling and inferred uplift/erosion history of the Grenville orogen, Ontario: constraints from 40Ar/39Ar thermochronology. Tectonics, 10(5), 959-977."
PSA-2,904,8,8,Ar/Ar,Cooling,gneiss,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,45.44172,-80.02066,Location very approximate; not specifically located in paper. Coordinates to be verified from thesis.,Central Gneiss Belt - unknown,Metamorphic,gneiss,"Cosca, M. A., Sutter, J. F., & Essene, E. J. (1991). Cooling and inferred uplift/erosion history of the Grenville orogen, Ontario: constraints from 40Ar/39Ar thermochronology. Tectonics, 10(5), 959-977."
PSI86-1,915,6,6,Ar/Ar,Cooling,schist,Muscovite,Ar Furnace-Step,Direct,Grenville Province,ON,45.30838,-80.12484,Location approximate.,Central Gneiss Belt - unknown,Metamorphic,schist,"Cosca, M. A., Sutter, J. F., & Essene, E. J. (1991). Cooling and inferred uplift/erosion history of the Grenville orogen, Ontario: constraints from 40Ar/39Ar thermochronology. Tectonics, 10(5), 959-977."
PSI86-1,1133,4,4,Ar/Ar,Cooling,schist,Biotite,Ar Furnace-Fusion,Uncertain,Grenville Province,ON,45.30838,-80.12484,Location approximate.,Central Gneiss Belt - unknown,Metamorphic,schist,"Cosca, M. A., Sutter, J. F., & Essene, E. J. (1991). Cooling and inferred uplift/erosion history of the Grenville orogen, Ontario: constraints from 40Ar/39Ar thermochronology. Tectonics, 10(5), 959-977."
SSA-10A,731,8,8,Ar/Ar,Cooling,pegmatite,K-Feldspar,Ar Furnace-Step,Estimate,Grenville Province,ON,45.50006,-78.24977,Approx. 50 km WSE of Pembroke. Location approximate.,Central Gneiss Belt - unknown,Plutonic,pegmatite,"Cosca, M. A., Sutter, J. F., & Essene, E. J. (1991). Cooling and inferred uplift/erosion history of the Grenville orogen, Ontario: constraints from 40Ar/39Ar thermochronology. Tectonics, 10(5), 959-977."
SSA-10B,904,8,8,Ar/Ar,Cooling,amphibolite,Biotite,Ar Furnace-Fusion,Direct,Grenville Province,ON,45.50006,-78.24977,Approx. 50 km WSE of Pembroke. Location approximate.,Central Gneiss Belt - unknown,Metamorphic,amphibolite,"Cosca, M. A., Sutter, J. F., & Essene, E. J. (1991). Cooling and inferred uplift/erosion history of the Grenville orogen, Ontario: constraints from 40Ar/39Ar thermochronology. Tectonics, 10(5), 959-977."
