Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
91-16,1058,2,2,U/Pb,Metamorphic,calc-silicate gneiss,Titanite,TIMS,Estimate,Grenville Province,ON,45.41292,-80.09248,No topographic description.,Mesoproterozoic Composite Arc allochthon - Shawanaga domain,Metamorphic,calc-silicate gneiss,"Tuccillo, M.E., Mezger, K., Essene, E.J. and van der Pluijm, B.A., 1992. Thermobarometry, geochronology and the interpretation of P-T-t data in the Britt domain, Ontario Grenville Orogen, Canada; Journal of Petrology, v. 33, p. 1225-125"
SH88-7b,1060,2,2,U/Pb,Pb Loss,metapelitic gneiss,Monazite,TIMS,Estimate,Grenville Province,ON,45.52273,-80.35706,No topographic description.,High pressure terranes - Britt domain,Metamorphic,metapelitic gneiss,"Tuccillo, M.E., Mezger, K., Essene, E.J. and van der Pluijm, B.A., 1992. Thermobarometry, geochronology and the interpretation of P-T-t data in the Britt domain, Ontario Grenville Orogen, Canada; Journal of Petrology, v. 33, p. 1225-125"
91-18,1078,4,4,U/Pb,Metamorphic,quartz-titanite vein,Titanite,TIMS,Direct,Grenville Province,ON,45.35413,-80.05767,No topographic description.,Mesoproterozoic Composite Arc allochthon - Parry Sound Shear Zone,Metamorphic,quartz-titanite vein,"Tuccillo, M.E., Mezger, K., Essene, E.J. and van der Pluijm, B.A., 1992. Thermobarometry, geochronology and the interpretation of P-T-t data in the Britt domain, Ontario Grenville Orogen, Canada; Journal of Petrology, v. 33, p. 1225-125"
PS88-1,1123,3,3,U/Pb,Metamorphic,"metapelite, sheared to at least amphibolite facies conditions",Garnet,TIMS,Estimate,Grenville Province,ON,45.35413,-80.05767,No topographic description.,Mesoproterozoic Composite Arc allochthon - Parry Sound Shear Zone,Metamorphic,"metapelite, sheared to at least amphibolite facies conditions","Tuccillo, M.E., Mezger, K., Essene, E.J. and van der Pluijm, B.A., 1992. Thermobarometry, geochronology and the interpretation of P-T-t data in the Britt domain, Ontario Grenville Orogen, Canada; Journal of Petrology, v. 33, p. 1225-125"
91-19,1157,1,1,U/Pb,Metamorphic,metapelitic gneiss,Monazite,TIMS,Direct,Grenville Province,ON,45.48016,-79.95577,No topographic description.,Mesoproterozoic Composite Arc allochthon - Parry Sound domain,Metamorphic,metapelitic gneiss,"Tuccillo, M.E., Mezger, K., Essene, E.J. and van der Pluijm, B.A., 1992. Thermobarometry, geochronology and the interpretation of P-T-t data in the Britt domain, Ontario Grenville Orogen, Canada; Journal of Petrology, v. 33, p. 1225-125"
SH88-7b,1396,6,6,U/Pb,Metamorphic,metapelitic gneiss,Garnet,TIMS,Estimate,Grenville Province,ON,45.52273,-80.35706,No topographic description.,High pressure terranes - Britt domain,Metamorphic,metapelitic gneiss,"Tuccillo, M.E., Mezger, K., Essene, E.J. and van der Pluijm, B.A., 1992. Thermobarometry, geochronology and the interpretation of P-T-t data in the Britt domain, Ontario Grenville Orogen, Canada; Journal of Petrology, v. 33, p. 1225-125"
Sh88-58,1435,2,2,U/Pb,Metamorphic,metapelitic gneiss,Allanite,TIMS,Estimate,Grenville Province,ON,45.52273,-80.35706,No topographic description.,High pressure terranes - Britt domain,Metamorphic,metapelitic gneiss,"Tuccillo, M.E., Mezger, K., Essene, E.J. and van der Pluijm, B.A., 1992. Thermobarometry, geochronology and the interpretation of P-T-t data in the Britt domain, Ontario Grenville Orogen, Canada; Journal of Petrology, v. 33, p. 1225-125"
Sh88-58,1450,1,1,U/Pb,Metamorphic,metapelitic gneiss,Allanite,TIMS,Direct,Grenville Province,ON,45.52273,-80.35706,No topographic description.,High pressure terranes - Britt domain,Metamorphic,metapelitic gneiss,"Tuccillo, M.E., Mezger, K., Essene, E.J. and van der Pluijm, B.A., 1992. Thermobarometry, geochronology and the interpretation of P-T-t data in the Britt domain, Ontario Grenville Orogen, Canada; Journal of Petrology, v. 33, p. 1225-125"
