Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
87-DC-2,972,7,7,U/Pb,Pb Loss,medium-grained weakly-foliated granodiorite with 2-3 cm K-feldspar megacrysts (primary),Titanite,TIMS,Estimate,Grenville Province,ON,45.87405,-80.75473,"Small island S. of Mann Island, SW of Key Harbour, Georgian Bay",Mesoproteozoic composite Arc allochthon - Mann Island granodiorite,Plutonic,medium-grained weakly-foliated granodiorite with 2-3 cm K-feldspar megacrysts (primary),"Corrigan, D., Culshaw, N.G. and Mortensen, K.J., 1994. Pre-Grenvillian evoultion and Grenvillian overprinting of the Parautochthonous Belt in Key Harbour, Ontario: U-Pb and field constraints; Canadian Journal of Earth Sciences, v. 31, p. 583-59"
87-DC-6,980,8,8,U/Pb,Recrystallization,"granodiorite dyke, 2 m thick sheet",Titanite,TIMS,Estimate,Grenville Province,ON,45.88523,-80.76402,"Bigby Island, west of Key Harbour, Georgian Bay",Mesoproteozoic composite Arc allochthon - ?Mann Island granodiorite correlative?,Plutonic,"granodiorite dyke, 2 m thick sheet","Corrigan, D., Culshaw, N.G. and Mortensen, K.J., 1994. Pre-Grenvillian evoultion and Grenvillian overprinting of the Parautochthonous Belt in Key Harbour, Ontario: U-Pb and field constraints; Canadian Journal of Earth Sciences, v. 31, p. 583-59"
87-DC-5,990,2,2,U/Pb,Igneous Crystallization,"pegmatite dyke, megacrystic (microcline crystals to 1 m)",Zircon,TIMS,Estimate,Grenville Province,ON,45.82122,-80.72052,"Approx. 2 km S of Churchill Islands, Georgian Bay",Mesoproteozoic composite Arc allochthon - undivided,Plutonic,"pegmatite dyke, megacrystic (microcline crystals to 1 m)","Corrigan, D., Culshaw, N.G. and Mortensen, K.J., 1994. Pre-Grenvillian evoultion and Grenvillian overprinting of the Parautochthonous Belt in Key Harbour, Ontario: U-Pb and field constraints; Canadian Journal of Earth Sciences, v. 31, p. 583-59"
87-DC-2,1001,6,6,U/Pb,Metamorphic,medium-grained weakly-foliated granodiorite with 2-3 cm K-feldspar megacrysts (primary),Titanite,TIMS,Direct,Grenville Province,ON,45.87405,-80.75473,"Small island S. of Mann Island, SW of Key Harbour, Georgian Bay",Mesoproteozoic composite Arc allochthon - Mann Island granodiorite,Plutonic,medium-grained weakly-foliated granodiorite with 2-3 cm K-feldspar megacrysts (primary),"Corrigan, D., Culshaw, N.G. and Mortensen, K.J., 1994. Pre-Grenvillian evoultion and Grenvillian overprinting of the Parautochthonous Belt in Key Harbour, Ontario: U-Pb and field constraints; Canadian Journal of Earth Sciences, v. 31, p. 583-59"
88-Db-26B,1003,9,9,U/Pb,Metamorphic,leucosome from internal boudin necks,Titanite,TIMS,Direct,Grenville Province,ON,45.88701,-80.75422,"Small island off northern tip of Mann Island, west of Key Harbour, Georgian Bay",Mesoproteozoic composite Arc allochthon - undivided gneiss in Mann Island granodiorite,Plutonic,leucosome from internal boudin necks,"Corrigan, D., Culshaw, N.G. and Mortensen, K.J., 1994. Pre-Grenvillian evoultion and Grenvillian overprinting of the Parautochthonous Belt in Key Harbour, Ontario: U-Pb and field constraints; Canadian Journal of Earth Sciences, v. 31, p. 583-59"
88-Db-26B,1015,16,17,U/Pb,Pb Loss,leucosome from internal boudin necks,Zircon,TIMS,Estimate,Grenville Province,ON,45.88701,-80.75422,"Small island off northern tip of Mann Island, west of Key Harbour, Georgian Bay",Mesoproteozoic composite Arc allochthon - undivided gneiss in Mann Island granodiorite,Plutonic,leucosome from internal boudin necks,"Corrigan, D., Culshaw, N.G. and Mortensen, K.J., 1994. Pre-Grenvillian evoultion and Grenvillian overprinting of the Parautochthonous Belt in Key Harbour, Ontario: U-Pb and field constraints; Canadian Journal of Earth Sciences, v. 31, p. 583-59"
87-DC-3,1035,1,1,U/Pb,Peak Metamorphic,migmatitic sillimanite kyanite K-feldspar garnet biotite paragneiss,Monazite,TIMS,Direct,Grenville Province,ON,45.88482,-80.7434,"Small island just west of Key Harbour, Georgian Bay",Mesoproteozoic composite Arc allochthon - undivided gneiss,Metamorphic,migmatitic sillimanite kyanite K-feldspar garnet biotite paragneiss,"Corrigan, D., Culshaw, N.G. and Mortensen, K.J., 1994. Pre-Grenvillian evoultion and Grenvillian overprinting of the Parautochthonous Belt in Key Harbour, Ontario: U-Pb and field constraints; Canadian Journal of Earth Sciences, v. 31, p. 583-59"
87-DC-1,1146,137,128,U/Pb,Metamorphic,pink fine- to medium-grained homogenous leucogranite,Zircon,TIMS,Estimate,Grenville Province,ON,45.88433,-80.76402,"Bigby Island, west of Key Harbour, Georgian Bay",Mesoproteozoic composite Arc allochthon - Key Harbour granite,Plutonic,pink fine- to medium-grained homogenous leucogranite,"Corrigan, D., Culshaw, N.G. and Mortensen, K.J., 1994. Pre-Grenvillian evoultion and Grenvillian overprinting of the Parautochthonous Belt in Key Harbour, Ontario: U-Pb and field constraints; Canadian Journal of Earth Sciences, v. 31, p. 583-59"
87-DC-2,1442,7,6,U/Pb,Igneous Crystallization,medium-grained weakly-foliated granodiorite with 2-3 cm K-feldspar megacrysts (primary),Zircon,TIMS,Minimum Direct,Grenville Province,ON,45.87405,-80.75473,"Small island S. of Mann Island, SW of Key Harbour, Georgian Bay",Mesoproteozoic composite Arc allochthon - Mann Island granodiorite,Plutonic,medium-grained weakly-foliated granodiorite with 2-3 cm K-feldspar megacrysts (primary),"Corrigan, D., Culshaw, N.G. and Mortensen, K.J., 1994. Pre-Grenvillian evoultion and Grenvillian overprinting of the Parautochthonous Belt in Key Harbour, Ontario: U-Pb and field constraints; Canadian Journal of Earth Sciences, v. 31, p. 583-59"
88-Db-26B,1456,12,11,U/Pb,Protolith age,leucosome from internal boudin necks,Zircon,TIMS,Direct,Grenville Province,ON,45.88701,-80.75422,"Small island off northern tip of Mann Island, west of Key Harbour, Georgian Bay",Mesoproteozoic composite Arc allochthon - undivided gneiss in Mann Island granodiorite,Plutonic,leucosome from internal boudin necks,"Corrigan, D., Culshaw, N.G. and Mortensen, K.J., 1994. Pre-Grenvillian evoultion and Grenvillian overprinting of the Parautochthonous Belt in Key Harbour, Ontario: U-Pb and field constraints; Canadian Journal of Earth Sciences, v. 31, p. 583-59"
