Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
AL97-13b,1020.0,4.0,4.0,Ar/Ar,Cooling,,Hornblende,Laser-Step,,Grenville Province,NY,44.45237,-75.25455,Adirondack Lowlands,Adirondack Lowlands,Plutonic,Hermon granite,"Dahl, P. S., Pomfrey, M. E., Foland, K. A., Tollo, R. P., Corriveau, L., McLelland, J., & Bartholomew, M. J. (2004). Slow cooling and apparent tilting of the Adirondack Lowlands, Grenville Province, New York, based on^ 4^ 0Ar/^ 3^ 9Ar ages. MEMOIRS-GEOLOGICAL SOCIETY OF AMERICA, 299-324."
AL97-15a,1080.0,3.0,3.0,Ar/Ar,Cooling,,Hornblende,Laser-Step,,Grenville Province,NY,44.37252,-75.55488,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,Amphibolite-metagabbro,"Dahl, P. S., Pomfrey, M. E., Foland, K. A., Tollo, R. P., Corriveau, L., McLelland, J., & Bartholomew, M. J. (2004). Slow cooling and apparent tilting of the Adirondack Lowlands, Grenville Province, New York, based on^ 4^ 0Ar/^ 3^ 9Ar ages. MEMOIRS-GEOLOGICAL SOCIETY OF AMERICA, 299-324."
AL97-18a,1055.0,10.0,10.0,Ar/Ar,Cooling,,Hornblende,Laser-Step,,Grenville Province,NY,44.3869,-75.64777,Adirondack Lowlands,Adirondack Lowlands,Plutonic,Antwerp granite,"Dahl, P. S., Pomfrey, M. E., Foland, K. A., Tollo, R. P., Corriveau, L., McLelland, J., & Bartholomew, M. J. (2004). Slow cooling and apparent tilting of the Adirondack Lowlands, Grenville Province, New York, based on^ 4^ 0Ar/^ 3^ 9Ar ages. MEMOIRS-GEOLOGICAL SOCIETY OF AMERICA, 299-324."
AL97-22b,1098.0,3.0,3.0,Ar/Ar,Cooling,,Hornblende,Laser-Step,,Grenville Province,NY,44.41687,-75.56672,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,Hyde School gneiss,"Dahl, P. S., Pomfrey, M. E., Foland, K. A., Tollo, R. P., Corriveau, L., McLelland, J., & Bartholomew, M. J. (2004). Slow cooling and apparent tilting of the Adirondack Lowlands, Grenville Province, New York, based on^ 4^ 0Ar/^ 3^ 9Ar ages. MEMOIRS-GEOLOGICAL SOCIETY OF AMERICA, 299-324."
AL97-27c,1050.0,10.0,10.0,Ar/Ar,Cooling,,Hornblende,Laser-Step,,Grenville Province,NY,44.28902,-75.39705,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,Popple Hill gneiss,"Dahl, P. S., Pomfrey, M. E., Foland, K. A., Tollo, R. P., Corriveau, L., McLelland, J., & Bartholomew, M. J. (2004). Slow cooling and apparent tilting of the Adirondack Lowlands, Grenville Province, New York, based on^ 4^ 0Ar/^ 3^ 9Ar ages. MEMOIRS-GEOLOGICAL SOCIETY OF AMERICA, 299-324."
AL97-27d,1063.0,3.0,3.0,Ar/Ar,Cooling,,Hornblende,Laser-Step,,Grenville Province,NY,44.28902,-75.39705,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,Popple Hill gneiss,"Dahl, P. S., Pomfrey, M. E., Foland, K. A., Tollo, R. P., Corriveau, L., McLelland, J., & Bartholomew, M. J. (2004). Slow cooling and apparent tilting of the Adirondack Lowlands, Grenville Province, New York, based on^ 4^ 0Ar/^ 3^ 9Ar ages. MEMOIRS-GEOLOGICAL SOCIETY OF AMERICA, 299-324."
AL97-35,1053.0,4.0,4.0,Ar/Ar,Cooling,,Hornblende,Laser-Step,,Grenville Province,NY,44.22635,-75.38517,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,Hyde School gneiss,"Dahl, P. S., Pomfrey, M. E., Foland, K. A., Tollo, R. P., Corriveau, L., McLelland, J., & Bartholomew, M. J. (2004). Slow cooling and apparent tilting of the Adirondack Lowlands, Grenville Province, New York, based on^ 4^ 0Ar/^ 3^ 9Ar ages. MEMOIRS-GEOLOGICAL SOCIETY OF AMERICA, 299-324."
AL98-45,1055.0,3.0,3.0,Ar/Ar,Cooling,,Hornblende,Laser-Step,,Grenville Province,NY,44.41463,-75.33897,Adirondack Lowlands,Adirondack Lowlands,Plutonic,Antwerp granite,"Dahl, P. S., Pomfrey, M. E., Foland, K. A., Tollo, R. P., Corriveau, L., McLelland, J., & Bartholomew, M. J. (2004). Slow cooling and apparent tilting of the Adirondack Lowlands, Grenville Province, New York, based on^ 4^ 0Ar/^ 3^ 9Ar ages. MEMOIRS-GEOLOGICAL SOCIETY OF AMERICA, 299-324."
AL98-46,1015.0,3.0,3.0,Ar/Ar,Cooling,,Hornblende,Laser-Step,,Grenville Province,NY,44.52148,-75.2087,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,Amphibolite-metagabbro,"Dahl, P. S., Pomfrey, M. E., Foland, K. A., Tollo, R. P., Corriveau, L., McLelland, J., & Bartholomew, M. J. (2004). Slow cooling and apparent tilting of the Adirondack Lowlands, Grenville Province, New York, based on^ 4^ 0Ar/^ 3^ 9Ar ages. MEMOIRS-GEOLOGICAL SOCIETY OF AMERICA, 299-324."
AL98-47b,1012.0,3.0,3.0,Ar/Ar,Cooling,,Hornblende,Laser-Step,,Grenville Province,NY,44.5854,-75.18005,Adirondack Lowlands,Adirondack Lowlands,Metamorphic,Hyde School gneiss,"Dahl, P. S., Pomfrey, M. E., Foland, K. A., Tollo, R. P., Corriveau, L., McLelland, J., & Bartholomew, M. J. (2004). Slow cooling and apparent tilting of the Adirondack Lowlands, Grenville Province, New York, based on^ 4^ 0Ar/^ 3^ 9Ar ages. MEMOIRS-GEOLOGICAL SOCIETY OF AMERICA, 299-324."
