Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
Mountain Grove,1047,4,4,Ar/Ar,Cooling,Gabbro,Biotite,Ar Furnace-Step,Unverified,Grenville Province,ON,44.70839,-76.79138,Location approximate.,Sharbot Lake terrane - Mountain Grove gabbro,Plutonic,Gabbro,"Grammatikopoulos, T.A.L., 1997. Tectonic implications of U-Pb and 40Ar/39Ar ages of plutons and wollastonite skarns in the Sharbot Lake and Frontenac terranes, Central Metasedimentary Belt, Grenville Province, Southeastern Ontario. Unpublislhed Ph.D. thesis, Queen's University, Ontario, p. 77"
Mountain Grove,1058,14,14,Ar/Ar,Cooling,Gabbro,Hornblende,Ar Furnace-Step,Unverified,Grenville Province,ON,44.70839,-76.79138,Location approximate.,Sharbot Lake terrane - Mountain Grove gabbro,Plutonic,Gabbro,"Grammatikopoulos, T.A.L., 1997. Tectonic implications of U-Pb and 40Ar/39Ar ages of plutons and wollastonite skarns in the Sharbot Lake and Frontenac terranes, Central Metasedimentary Belt, Grenville Province, Southeastern Ontario. Unpublislhed Ph.D. thesis, Queen's University, Ontario, p. 78"
Hawley,1065,4,4,Ar/Ar,Cooling,Skarn,Phlogopite,Ar Furnace-Step,Unverified,Grenville Province,ON,44.73339,-76.89971,Location approximate.,Sharbot Lake terrane - Hawley wollastonite skarn,Metamorphic,Skarn,"Grammatikopoulos, T.A.L., 1997. Tectonic implications of U-Pb and 40Ar/39Ar ages of plutons and wollastonite skarns in the Sharbot Lake and Frontenac terranes, Central Metasedimentary Belt, Grenville Province, Southeastern Ontario. Unpublislhed Ph.D. thesis, Queen's University, Ontario, p. 79"
Leo Lake sy,1121,6,6,Ar/Ar,Cooling,Syenite,Hornblende,Ar Furnace-Step,Unverified,Grenville Province,ON,44.45006,-76.26636,Location approximate.,Frontenac terrane - Leo Lake pluton,Plutonic,Syenite,"Grammatikopoulos, T.A.L., 1997. Tectonic implications of U-Pb and 40Ar/39Ar ages of plutons and wollastonite skarns in the Sharbot Lake and Frontenac terranes, Central Metasedimentary Belt, Grenville Province, Southeastern Ontario. Unpublislhed Ph.D. thesis, Queen's University, Ontario, p. 80"
Leo Lake sk,1149,5,5,U/Pb,Metamorphic,Skarn,Titanite,TIMS,Unverified,Grenville Province,ON,44.45006,-76.26636,Location approximate.,Frontenac terrane - Leo Lake pluton,Metamorphic,Skarn,"Grammatikopoulos, T.A.L., 1997. Tectonic implications of U-Pb and 40Ar/39Ar ages of plutons and wollastonite skarns in the Sharbot Lake and Frontenac terranes, Central Metasedimentary Belt, Grenville Province, Southeastern Ontario. Unpublislhed Ph.D. thesis, Queen's University, Ontario, p. 81"
Leo Lake sk,1159,6,6,Ar/Ar,Cooling,Skarn,Hornblende,Ar Furnace-Step,Unverified,Grenville Province,ON,44.45006,-76.26636,Location approximate.,Frontenac terrane - Leo Lake pluton,Metamorphic,Skarn,"Grammatikopoulos, T.A.L., 1997. Tectonic implications of U-Pb and 40Ar/39Ar ages of plutons and wollastonite skarns in the Sharbot Lake and Frontenac terranes, Central Metasedimentary Belt, Grenville Province, Southeastern Ontario. Unpublislhed Ph.D. thesis, Queen's University, Ontario, p. 82"
Leo Lake sk,1258,4,4,Ar/Ar,Cooling,Skarn,Phlogopite,Ar Furnace-Step,Unverified,Grenville Province,ON,44.45006,-76.26636,Location approximate.,Frontenac terrane - Leo Lake pluton,Metamorphic,Skarn,"Grammatikopoulos, T.A.L., 1997. Tectonic implications of U-Pb and 40Ar/39Ar ages of plutons and wollastonite skarns in the Sharbot Lake and Frontenac terranes, Central Metasedimentary Belt, Grenville Province, Southeastern Ontario. Unpublislhed Ph.D. thesis, Queen's University, Ontario, p. 83"
