Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
Frederic Inlet,1001,4,4,U/Pb,Metamorphic,pseudoeclogite,Zircon,TIMS,Unverified,Grenville Province,ON,45.49172,-80.44152,Twin Doves Isl. Coordinates approximate.,Shawanga shear zone - Frederic Inlet pseudoecologite,Metamorphic,pseudoeclogite,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-7"
Rosseau,1016,32,46,U/Pb,Metamorphic,Mafic gneiss,Zircon,TIMS,Unverified,Grenville Province,ON,45.19172,-79.62482,Rosseau,Rosseau domain - Juddhaven pseudoecologite,Metamorphic,Mafic gneiss,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-7"
Emsdale,1048,30,30,U/Pb,Metamorphic,Mafic gneiss,Zircon,TIMS,Unverified,Grenville Province,ON,45.55005,-79.24982,None,Kiosk domain - Emsdale pseudoecologite,Metamorphic,Mafic gneiss,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-7"
Britt-Shawanaga,1088,3,3,U/Pb,Metamorphic,Mafic gneiss,Zircon,TIMS,Unverified,Grenville Province,ON,45.87505,-79.75816,None,Shawanga shear zone - Arnstein pseudoecologite,Metamorphic,Mafic gneiss,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-7"
Go Home p-eclogite,1089,2,2,U/Pb,Metamorphic,gneiss,Zircon,TIMS,Unverified,Grenville Province,ON,44.81255,-79.78316,None,Go Home domain - Go Home pseudoeclogite,Metamorphic,gneiss,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-7"
Frederic Inlet,1091,11,11,U/Pb,Metamorphic,pseudoeclogite,Zircon,TIMS,Unverified,Grenville Province,ON,45.49172,-80.44152,Twin Doves Isl. Coordinates approximate.,Shawanga shear zone - Frederic Inlet pseudoecologite,Metamorphic,pseudoeclogite,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-7"
Frederic Inlet,1095,0,0,U/Pb,Metamorphic,pseudoeclogite,Zircon,TIMS,Unverified,Grenville Province,ON,45.49172,-80.44152,Twin Doves Isl. Coordinates approximate.,Shawanga shear zone - Frederic Inlet pseudoecologite,Metamorphic,pseudoeclogite,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-7"
Frederic Inlet,1121,12,12,U/Pb,Protolith age,pseudoeclogite,Zircon,TIMS,Unverified,Grenville Province,ON,45.49172,-80.44152,Twin Doves Isl. Coordinates approximate.,Shawanga shear zone - Frederic Inlet pseudoecologite,Metamorphic,pseudoeclogite,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-7"
Emsdale,1396,15,13,U/Pb,Protolith age,Mafic gneiss,Zircon,TIMS,Unverified,Grenville Province,ON,45.55005,-79.24982,None,Kiosk domain - Emsdale pseudoecologite,Metamorphic,Mafic gneiss,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-7"
Rosseau,1441,86,72,U/Pb,Protolith age,Mafic gneiss,Zircon,TIMS,Unverified,Grenville Province,ON,45.19172,-79.62482,Rosseau,Rosseau domain - Juddhaven pseudoecologite,Metamorphic,Mafic gneiss,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-7"
Go Home p-eclogite,1469,11,11,U/Pb,Protolith age,gneiss,Zircon,TIMS,Unverified,Grenville Province,ON,44.81255,-79.78316,None,Go Home domain - Go Home pseudoeclogite,Metamorphic,gneiss,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-7"
