Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
HM95,915,2,2,Ar/Ar,Cooling,Plateau Age,Biotite,Laser-Step,Direct,Grenville Province,NY,44.45,-75.2,"Northwest of Russell on Rt. 17 in Devil's Elbow, 2 miles south of Hermon. Massive outcrop on both sides of the road; sample from east side",Adirondack Highlands; Carthage-Colton shear zone,Metamorphic,garnet biotite gneiss,"Streepey, M.M., van der Pluijm, B.A., Essene, E.J., Hall, C.M., and Magloughlin, J.F., 2000, Late Proterozoic (ca. 930 Ma) extension in eastern Laurentia: Geological Society of America Bulletin, v. 112, p. 1522–1530."
A125,1065,,,Ar/Ar,Cooling,Plateau Age,Hornblende,Laser-Step,Direct,Grenville Province,NY,44.31,-75.4,"Emoryville Rd., E of Hailsboro, small outcrop north of road, NW of house, 1.8 mi. E of bridge, 2.1 mi. from Island Branch Rd.",Adirondack Highlands; Carthage-Colton shear zone,Metamorphic,amphibolite,"Streepey, M.M., van der Pluijm, B.A., Essene, E.J., Hall, C.M., and Magloughlin, J.F., 2000, Late Proterozoic (ca. 930 Ma) extension in eastern Laurentia: Geological Society of America Bulletin, v. 112, p. 1522–1530."
A128,964,4,4,Ar/Ar,Cooling,Plateau Age,Biotite,Laser-Step,Direct,Grenville Province,NY,44.36,-75.29,"Outcrop 40m long roadcut on the south side of Trout Lake Rd, north of Edwards on the west side of Trout Lake just west of 2 islands",Adirondack Highlands; Carthage-Colton shear zone,Metamorphic,amphibolite,"Streepey, M.M., van der Pluijm, B.A., Essene, E.J., Hall, C.M., and Magloughlin, J.F., 2000, Late Proterozoic (ca. 930 Ma) extension in eastern Laurentia: Geological Society of America Bulletin, v. 112, p. 1522–1530."
A129,924,3,3,Ar/Ar,Cooling,Plateau Age,Biotite,Laser-Step,Direct,Grenville Province,NY,44.34,-75.28,"Outcrop due west of westernmost extreme of Cedar Lake, south of Trout Lake on Rt. 19 on the way to Edwards",Adirondack Highlands; Carthage-Colton shear zone,Metamorphic,amphibolite,"Streepey, M.M., van der Pluijm, B.A., Essene, E.J., Hall, C.M., and Magloughlin, J.F., 2000, Late Proterozoic (ca. 930 Ma) extension in eastern Laurentia: Geological Society of America Bulletin, v. 112, p. 1522–1530."
A136,937,8,8,Ar/Ar,Cooling,Total Gas Age,Biotite,Laser-Step,Estimate,Grenville Province,NY,44.56,-74.8,"Small outcrop on Joe Indian Rd at the crest of a small hill. Located at the N70W, 60N symbol on Leonard and Buddington's map",Adirondack Highlands; Carthage-Colton shear zone,Metamorphic,hornblende granite,"Streepey, M.M., van der Pluijm, B.A., Essene, E.J., Hall, C.M., and Magloughlin, J.F., 2000, Late Proterozoic (ca. 930 Ma) extension in eastern Laurentia: Geological Society of America Bulletin, v. 112, p. 1522–1530."
A112,940,4,4,Ar/Ar,Cooling,Plateau Age,Biotite,Laser-Step,Direct,Grenville Province,NY,44.29,-75.4,"Near Gouverneur, north of junction of Poplar Hill Rd and Hwy 812. Sample from northerly outcrop",Adirondack Highlands; Carthage-Colton shear zone,Metamorphic,amphibolite,"Streepey, M.M., van der Pluijm, B.A., Essene, E.J., Hall, C.M., and Magloughlin, J.F., 2000, Late Proterozoic (ca. 930 Ma) extension in eastern Laurentia: Geological Society of America Bulletin, v. 112, p. 1522–1530."
A102,990,,0,Ar/Ar,Cooling,Plateau Age,Hornblende,Laser-Step,Total Gas Age,Grenville Province,NY,44.3,-75.4,"Popple Hill Formation, near Russell.",Adirondack Highlands; Carthage-Colton shear zone,Metamorphic,amphibolite,"Streepey, M.M., van der Pluijm, B.A., Essene, E.J., Hall, C.M., and Magloughlin, J.F., 2000, Late Proterozoic (ca. 930 Ma) extension in eastern Laurentia: Geological Society of America Bulletin, v. 112, p. 1522–1530."
A142,919,1,1,Ar/Ar,Cooling,Total Gas Age,Biotite,Laser-Step,Estimate,Grenville Province,NY,44.17,-75.16,Small outcrop on the east side of Mud Lake Rd at the junction of Mud Lake and Briggs Rd (outcrop on the southeast corner of intersection),Adirondack Highlands; Carthage-Colton shear zone,Metamorphic,hornblende granite,"Streepey, M.M., van der Pluijm, B.A., Essene, E.J., Hall, C.M., and Magloughlin, J.F., 2000, Late Proterozoic (ca. 930 Ma) extension in eastern Laurentia: Geological Society of America Bulletin, v. 112, p. 1522–1530."
LB93,904,2,2,Ar/Ar,Cooling,Plateau Age,Biotite,Laser-Step,Direct,Grenville Province,NY,44.21,-75.38,Outcrop just north of LB596-31b,Adirondack Highlands; Carthage-Colton shear zone,Metamorphic,biotite schist,"Streepey, M.M., van der Pluijm, B.A., Essene, E.J., Hall, C.M., and Magloughlin, J.F., 2000, Late Proterozoic (ca. 930 Ma) extension in eastern Laurentia: Geological Society of America Bulletin, v. 112, p. 1522–1530."
LB596-31b,925,2,2,Ar/Ar,Cooling,Plateau Age,Biotite,Laser-Step,Direct,Grenville Province,NY,44.21,-75.37,"4.5 miles from intersection of Hwy 3 and Hwy 812, on Hwy 812. South of Balmat, at first bend in road north of Geers Corners. Outcrop on both sidse of the road, sample from the east side",Adirondack Highlands; Carthage-Colton shear zone,Metamorphic,biotite schist,"Streepey, M.M., van der Pluijm, B.A., Essene, E.J., Hall, C.M., and Magloughlin, J.F., 2000, Late Proterozoic (ca. 930 Ma) extension in eastern Laurentia: Geological Society of America Bulletin, v. 112, p. 1522–1530."
PP596-60,899,1,1,Ar/Ar,Cooling,Plateau Age,Biotite,Laser-Step,Direct,Grenville Province,NY,44.53,-75.04,1 mile southwest of Pierrepont on Rt. 2. Outcrop on east side of road,Adirondack Highlands; Carthage-Colton shear zone,Metamorphic,garnet biotite sillmanite schist,"Streepey, M.M., van der Pluijm, B.A., Essene, E.J., Hall, C.M., and Magloughlin, J.F., 2000, Late Proterozoic (ca. 930 Ma) extension in eastern Laurentia: Geological Society of America Bulletin, v. 112, p. 1522–1530."
